#           k/h    P           
   0.420980E-02   0.864136E+04
   0.429484E-02   0.876347E+04
   0.438160E-02   0.888657E+04
   0.447012E-02   0.901063E+04
   0.456042E-02   0.913563E+04
   0.465255E-02   0.926154E+04
   0.474653E-02   0.938835E+04
   0.484242E-02   0.951601E+04
   0.494024E-02   0.964451E+04
   0.504004E-02   0.977381E+04
   0.514186E-02   0.990388E+04
   0.524573E-02   0.100347E+05
   0.535170E-02   0.101662E+05
   0.545981E-02   0.102983E+05
   0.557011E-02   0.104311E+05
   0.568263E-02   0.105645E+05
   0.579743E-02   0.106984E+05
   0.591455E-02   0.108328E+05
   0.603403E-02   0.109676E+05
   0.615592E-02   0.111028E+05
   0.628028E-02   0.112384E+05
   0.640715E-02   0.113742E+05
   0.653658E-02   0.115103E+05
   0.666863E-02   0.116465E+05
   0.680335E-02   0.117828E+05
   0.694078E-02   0.119192E+05
   0.708100E-02   0.120556E+05
   0.722404E-02   0.121919E+05
   0.736998E-02   0.123280E+05
   0.751886E-02   0.124638E+05
   0.767075E-02   0.125994E+05
   0.782571E-02   0.127345E+05
   0.798380E-02   0.128692E+05
   0.814509E-02   0.130034E+05
   0.830963E-02   0.131368E+05
   0.847750E-02   0.132696E+05
   0.864875E-02   0.134015E+05
   0.882347E-02   0.135325E+05
   0.900171E-02   0.136624E+05
   0.918356E-02   0.137913E+05
   0.936908E-02   0.139189E+05
   0.955835E-02   0.140451E+05
   0.975144E-02   0.141699E+05
   0.994843E-02   0.142932E+05
   0.101494E-01   0.144147E+05
   0.103544E-01   0.145344E+05
   0.105636E-01   0.146522E+05
   0.107770E-01   0.147680E+05
   0.109947E-01   0.148816E+05
   0.112168E-01   0.149928E+05
   0.114434E-01   0.151016E+05
   0.116746E-01   0.152077E+05
   0.119104E-01   0.153112E+05
   0.121510E-01   0.154117E+05
   0.123965E-01   0.155092E+05
   0.126469E-01   0.156035E+05
   0.129024E-01   0.156945E+05
   0.131631E-01   0.157819E+05
   0.134290E-01   0.158657E+05
   0.137003E-01   0.159456E+05
   0.139770E-01   0.160216E+05
   0.142594E-01   0.160934E+05
   0.145474E-01   0.161608E+05
   0.148413E-01   0.162237E+05
   0.151411E-01   0.162819E+05
   0.154470E-01   0.163353E+05
   0.157590E-01   0.163836E+05
   0.160774E-01   0.164267E+05
   0.164022E-01   0.164644E+05
   0.167335E-01   0.164965E+05
   0.170716E-01   0.165228E+05
