#           k/h    P           
   0.420980E-02   0.497096E+00
   0.429484E-02   0.505617E+00
   0.438160E-02   0.514239E+00
   0.447012E-02   0.522959E+00
   0.456042E-02   0.531776E+00
   0.465255E-02   0.540688E+00
   0.474653E-02   0.549693E+00
   0.484242E-02   0.558789E+00
   0.494024E-02   0.567973E+00
   0.504004E-02   0.577243E+00
   0.514186E-02   0.586596E+00
   0.524573E-02   0.596028E+00
   0.535170E-02   0.605537E+00
   0.545981E-02   0.615117E+00
   0.557011E-02   0.624767E+00
   0.568263E-02   0.634481E+00
   0.579743E-02   0.644256E+00
   0.591455E-02   0.654085E+00
   0.603403E-02   0.663965E+00
   0.615592E-02   0.673890E+00
   0.628028E-02   0.683855E+00
   0.640715E-02   0.693853E+00
   0.653658E-02   0.703879E+00
   0.666863E-02   0.713926E+00
   0.680335E-02   0.723987E+00
   0.694078E-02   0.734055E+00
   0.708100E-02   0.744122E+00
   0.722404E-02   0.754182E+00
   0.736998E-02   0.764226E+00
   0.751886E-02   0.774245E+00
   0.767075E-02   0.784231E+00
   0.782571E-02   0.794176E+00
   0.798380E-02   0.804069E+00
   0.814509E-02   0.813901E+00
   0.830963E-02   0.823664E+00
   0.847750E-02   0.833345E+00
   0.864875E-02   0.842935E+00
   0.882347E-02   0.852424E+00
   0.900171E-02   0.861801E+00
   0.918356E-02   0.871053E+00
   0.936908E-02   0.880171E+00
   0.955835E-02   0.889141E+00
   0.975144E-02   0.897953E+00
   0.994843E-02   0.906595E+00
   0.101494E-01   0.915053E+00
   0.103544E-01   0.923316E+00
   0.105636E-01   0.931370E+00
   0.107770E-01   0.939203E+00
   0.109947E-01   0.946802E+00
   0.112168E-01   0.954153E+00
   0.114434E-01   0.961243E+00
   0.116746E-01   0.968058E+00
   0.119104E-01   0.974585E+00
   0.121510E-01   0.980809E+00
   0.123965E-01   0.986716E+00
   0.126469E-01   0.992293E+00
   0.129024E-01   0.997525E+00
   0.131631E-01   0.100240E+01
   0.134290E-01   0.100690E+01
   0.137003E-01   0.101101E+01
   0.139770E-01   0.101471E+01
   0.142594E-01   0.101800E+01
   0.145474E-01   0.102086E+01
   0.148413E-01   0.102327E+01
   0.151411E-01   0.102522E+01
   0.154470E-01   0.102670E+01
   0.157590E-01   0.102769E+01
   0.160774E-01   0.102817E+01
   0.164022E-01   0.102815E+01
   0.167335E-01   0.102759E+01
   0.170716E-01   0.102650E+01
   0.174164E-01   0.102486E+01
   0.177683E-01   0.102267E+01
   0.181272E-01   0.101990E+01
   0.184934E-01   0.101656E+01
   0.188670E-01   0.101263E+01
   0.192481E-01   0.100812E+01
   0.196370E-01   0.100301E+01
   0.200337E-01   0.997309E+00
   0.204384E-01   0.991004E+00
   0.208513E-01   0.984098E+00
   0.212725E-01   0.976590E+00
   0.217022E-01   0.968483E+00
   0.221406E-01   0.959778E+00
   0.225879E-01   0.950480E+00
   0.230442E-01   0.940594E+00
   0.235097E-01   0.930126E+00
   0.239847E-01   0.919083E+00
   0.244692E-01   0.907475E+00
   0.249635E-01   0.895314E+00
   0.254678E-01   0.882611E+00
   0.259823E-01   0.869381E+00
   0.265072E-01   0.855641E+00
   0.270426E-01   0.841411E+00
   0.275889E-01   0.826711E+00
   0.281463E-01   0.811567E+00
   0.287149E-01   0.796005E+00
   0.292949E-01   0.780055E+00
   0.298867E-01   0.763750E+00
   0.304905E-01   0.747125E+00
   0.311064E-01   0.730217E+00
   0.317348E-01   0.713065E+00
   0.323759E-01   0.695711E+00
   0.330299E-01   0.678196E+00
   0.336972E-01   0.660561E+00
   0.343779E-01   0.642848E+00
   0.350724E-01   0.625099E+00
   0.357809E-01   0.607355E+00
   0.365038E-01   0.589655E+00
   0.372412E-01   0.572040E+00
   0.379935E-01   0.554546E+00
   0.387610E-01   0.537212E+00
   0.395440E-01   0.520074E+00
   0.403429E-01   0.503169E+00
   0.411579E-01   0.486529E+00
   0.419893E-01   0.470188E+00
   0.428375E-01   0.454176E+00
   0.437029E-01   0.438518E+00
   0.445858E-01   0.423238E+00
   0.454865E-01   0.408353E+00
   0.464053E-01   0.393875E+00
   0.473428E-01   0.379811E+00
   0.482992E-01   0.366164E+00
   0.492749E-01   0.352930E+00
   0.502703E-01   0.340105E+00
   0.512858E-01   0.327677E+00
   0.523219E-01   0.315633E+00
   0.533789E-01   0.303956E+00
   0.544572E-01   0.292625E+00
   0.555573E-01   0.281617E+00
   0.566796E-01   0.270900E+00
   0.578246E-01   0.260443E+00
   0.589927E-01   0.250209E+00
   0.601845E-01   0.240161E+00
   0.614003E-01   0.230263E+00
