#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.371368E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.245178E+00
   0.378866E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.250129E+00
   0.386517E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.255180E+00
   0.394321E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.260333E+00
   0.402284E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.265590E+00
   0.410407E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.270953E+00
   0.418694E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.276424E+00
   0.427149E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.282005E+00
   0.435774E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.287700E+00
   0.444573E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.293509E+00
   0.453551E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.299436E+00
   0.462709E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.305482E+00
   0.472052E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.311651E+00
   0.481584E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.317944E+00
   0.491309E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.324364E+00
   0.501229E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.330914E+00
   0.511351E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.337596E+00
   0.521676E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.344413E+00
   0.532210E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.351367E+00
   0.542957E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.358462E+00
   0.553921E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.365701E+00
   0.565106E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.373085E+00
   0.576517E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.380619E+00
   0.588158E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.388304E+00
   0.600034E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.396145E+00
   0.612151E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.404145E+00
   0.624512E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.412305E+00
   0.637122E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.420631E+00
   0.649987E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.429124E+00
   0.663112E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.437790E+00
   0.676502E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.446630E+00
   0.690163E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.455648E+00
