#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.371766E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.245919E+00
   0.379265E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.250880E+00
   0.386916E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.255941E+00
   0.394721E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.261104E+00
   0.402684E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.266371E+00
   0.410807E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.271745E+00
   0.419094E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.277227E+00
   0.427549E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.282819E+00
   0.436173E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.288524E+00
   0.444972E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.294345E+00
   0.453948E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.300282E+00
   0.463106E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.306340E+00
   0.472448E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.312520E+00
