#    L    TT             EE             TE          
   117   0.339495E+04   0.108376E+01  -0.355650E+02
   118   0.342907E+04   0.109555E+01  -0.362227E+02
   119   0.346331E+04   0.110696E+01  -0.368723E+02
   120   0.349766E+04   0.111799E+01  -0.375134E+02
   121   0.353212E+04   0.112862E+01  -0.381454E+02
   122   0.356666E+04   0.113885E+01  -0.387677E+02
   123   0.360131E+04   0.114865E+01  -0.393799E+02
   124   0.363603E+04   0.115803E+01  -0.399813E+02
   125   0.367083E+04   0.116697E+01  -0.405714E+02
   126   0.370570E+04   0.117546E+01  -0.411498E+02
   127   0.374063E+04   0.118350E+01  -0.417159E+02
   128   0.377560E+04   0.119108E+01  -0.422692E+02
   129   0.381063E+04   0.119819E+01  -0.428092E+02
   130   0.384569E+04   0.120482E+01  -0.433353E+02
   131   0.388077E+04   0.121097E+01  -0.438471E+02
   132   0.391589E+04   0.121663E+01  -0.443440E+02
   133   0.395101E+04   0.122178E+01  -0.448257E+02
   134   0.398614E+04   0.122645E+01  -0.452913E+02
   135   0.402126E+04   0.123061E+01  -0.457408E+02
   136   0.405638E+04   0.123426E+01  -0.461733E+02
   137   0.409149E+04   0.123739E+01  -0.465885E+02
   138   0.412657E+04   0.124001E+01  -0.469860E+02
   139   0.416161E+04   0.124211E+01  -0.473652E+02
   140   0.419662E+04   0.124368E+01  -0.477258E+02
   141   0.423158E+04   0.124475E+01  -0.480673E+02
   142   0.426648E+04   0.124529E+01  -0.483893E+02
   143   0.430132E+04   0.124530E+01  -0.486914E+02
   144   0.433608E+04   0.124480E+01  -0.489732E+02
   145   0.437077E+04   0.124378E+01  -0.492341E+02
   146   0.440534E+04   0.124224E+01  -0.494739E+02
   147   0.443981E+04   0.124020E+01  -0.496920E+02
   148   0.447415E+04   0.123765E+01  -0.498882E+02
   149   0.450834E+04   0.123459E+01  -0.500618E+02
   150   0.454238E+04   0.123104E+01  -0.502125E+02
   151   0.457624E+04   0.122699E+01  -0.503400E+02
   152   0.460994E+04   0.122246E+01  -0.504440E+02
   153   0.464345E+04   0.121745E+01  -0.505240E+02
   154   0.467677E+04   0.121198E+01  -0.505800E+02
   155   0.470990E+04   0.120604E+01  -0.506114E+02
   156   0.474284E+04   0.119966E+01  -0.506182E+02
   157   0.477557E+04   0.119282E+01  -0.506000E+02
   158   0.480810E+04   0.118557E+01  -0.505564E+02
   159   0.484041E+04   0.117789E+01  -0.504874E+02
   160   0.487250E+04   0.116980E+01  -0.503925E+02
   161   0.490434E+04   0.116133E+01  -0.502716E+02
   162   0.493593E+04   0.115247E+01  -0.501246E+02
   163   0.496725E+04   0.114326E+01  -0.499509E+02
   164   0.499828E+04   0.113369E+01  -0.497506E+02
   165   0.502903E+04   0.112379E+01  -0.495233E+02
   166   0.505948E+04   0.111357E+01  -0.492689E+02
   167   0.508961E+04   0.110306E+01  -0.489873E+02
   168   0.511943E+04   0.109226E+01  -0.486784E+02
