# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     4.73579e-05     0.000246831     0.000245315     0.000246831     0.000245315     0.000248036     0.000245315
     4.99627e-05     0.000259962     0.000258366     0.000259962     0.000258366     0.000261232     0.000258366
     5.27107e-05     0.000273793     0.000272112     0.000273793     0.000272107      0.00027513     0.000272112
     5.56099e-05     0.000288359     0.000286584     0.000288359     0.000286584     0.000289767     0.000286584
     5.86686e-05       0.0003037      0.00030183       0.0003037      0.00030183     0.000305183      0.00030183
     6.18955e-05     0.000319857     0.000317888     0.000319857     0.000317888     0.000321419     0.000317888
     6.52999e-05     0.000336874       0.0003348     0.000336874       0.0003348     0.000338519       0.0003348
     6.88915e-05     0.000354797     0.000352612      0.00035479     0.000352612     0.000356529     0.000352612
     7.26806e-05     0.000373672     0.000371372     0.000373666     0.000371372     0.000375497     0.000371372
     7.66782e-05     0.000393552     0.000391129     0.000393545     0.000391129     0.000395474     0.000391129
     8.08957e-05     0.000414482     0.000411938     0.000414483     0.000411938     0.000416514     0.000411938
     8.53451e-05     0.000436534     0.000433854     0.000436534     0.000433854     0.000438665     0.000433854
     9.00392e-05     0.000459758     0.000456935     0.000459758     0.000456928     0.000462003     0.000456934
     9.49916e-05     0.000484218     0.000481236     0.000484217     0.000481237     0.000486582     0.000481236
     0.000100216     0.000509979     0.000506839      0.00050997     0.000506839     0.000512469     0.000506839
     0.000105728     0.000537111     0.000533804     0.000537101     0.000533804     0.000539733     0.000533804
     0.000111544     0.000565684     0.000562203     0.000565676     0.000562202     0.000568437     0.000562203
     0.000117679     0.000595771     0.000592114     0.000595762     0.000592103      0.00059868     0.000592112
     0.000124151     0.000627467     0.000623604     0.000627456     0.000623604      0.00063053     0.000623604
      0.00013098     0.000660849      0.00065678     0.000660838     0.000656778     0.000664063      0.00065678
     0.000138184     0.000695996     0.000691722     0.000695983      0.00069171     0.000699394      0.00069172
     0.000145785     0.000733023     0.000728509     0.000733012      0.00072851     0.000736604     0.000728509
