# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
         7.74668     2.29621e-09     2.70339e-12     3.52661e-18     6.06927e-17     8.51433e-20     2.19573e-12
         8.16754     1.97723e-09     2.30151e-12      1.4959e-18     1.86001e-17      3.7317e-16     1.87015e-12
         8.61127     1.70237e-09      1.9473e-12     4.67429e-18       1.548e-17     2.52556e-16     1.58229e-12
         9.07911     1.46522e-09     1.63257e-12     1.47655e-17     1.32169e-16     3.70323e-17     1.32486e-12
         9.57236     1.26123e-09     1.40853e-12     1.40303e-17     3.53628e-19     3.92216e-17      1.1454e-12
         10.0924     1.08569e-09     1.19481e-12     3.37022e-19     1.03042e-19     5.22937e-17     9.71843e-13
         10.6407     9.34473e-10     9.96564e-13     5.33095e-18     5.24814e-17     1.76578e-16     8.09024e-13
         11.2188     8.04011e-10     8.53198e-13     1.29159e-17     1.46735e-18     5.83541e-17     6.93518e-13
         11.8283     6.91919e-10     7.21781e-13      4.1428e-18     2.12002e-18     7.35196e-18     5.86647e-13
         12.4709     5.95573e-10     6.14769e-13     2.56837e-21     4.15952e-21     8.74331e-20     4.99924e-13
         13.1484     5.12586e-10     5.21245e-13     6.98988e-22     1.05016e-19     7.02091e-18     4.23839e-13
         13.8628     4.41056e-10     4.38458e-13     6.23987e-19     4.77401e-18     8.57743e-18     3.56234e-13
         14.6159     3.79568e-10      3.7382e-13     1.69057e-18     2.41738e-19     1.84036e-18     3.03894e-13
           15.41     3.26736e-10     3.17276e-13     6.05588e-19     7.14409e-20      1.1251e-19      2.5795e-13
         16.2472     2.81277e-10     2.69494e-13     1.18334e-20     2.79127e-20     3.52112e-20     2.19143e-13
         17.1299     2.42185e-10     2.28643e-13     3.80368e-21     4.16459e-21     1.05278e-18     1.85899e-13
         18.0605     2.08582e-10     1.94173e-13     1.40148e-21     2.89612e-21     2.52799e-18     1.57874e-13
         19.0417     1.79705e-10     1.65022e-13     4.34033e-23     4.37228e-23     5.08838e-20     1.34176e-13
