# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
        0.215443     0.000278184     0.000278184     0.000278184
        0.229087     0.000243829     0.000243829     0.000243829
        0.243594     0.000220804     0.000220804     0.000220804
         0.25902     0.000199822     0.000199822     0.000199822
        0.275423      0.00017534      0.00017534      0.00017534
        0.292864     0.000154037     0.000154037     0.000154037
        0.311411     0.000138175     0.000138175     0.000138175
        0.331131     0.000122288     0.000122288     0.000122288
        0.352101     0.000107267     0.000107267     0.000107267
        0.374398     9.52527e-05     9.52527e-05     9.52527e-05
        0.398107     8.38397e-05     8.38397e-05     8.38397e-05
        0.423318     7.37561e-05     7.37561e-05     7.37561e-05
        0.450125     6.49948e-05     6.49948e-05     6.49948e-05
         0.47863     5.70272e-05     5.70272e-05     5.70272e-05
         0.50894     5.01109e-05     5.01109e-05     5.01109e-05
         0.54117     4.39153e-05     4.39153e-05     4.39153e-05
         0.57544     3.84862e-05     3.84862e-05     3.84862e-05
        0.611881     3.36801e-05     3.36801e-05     3.36801e-05
        0.650629     2.94498e-05     2.94498e-05     2.94498e-05
        0.691831     2.57305e-05     2.57305e-05     2.57305e-05
        0.735642     2.24582e-05     2.24582e-05     2.24582e-05
        0.782228     1.95856e-05     1.95856e-05     1.95856e-05
        0.831764     1.70669e-05     1.70669e-05     1.70669e-05
        0.884437     1.48599e-05     1.48599e-05     1.48599e-05
        0.940445     1.29278e-05     1.29278e-05     1.29278e-05
               1      1.1238e-05      1.1238e-05      1.1238e-05
         1.06333     9.76171e-06     9.76171e-06     9.76171e-06
         1.13066     8.47296e-06     8.47296e-06     8.47296e-06
         1.20226     7.34897e-06     7.34897e-06     7.34897e-06
          1.2784     6.36957e-06     6.36957e-06     6.36957e-06
         1.35936     5.51688e-06     5.51688e-06     5.51688e-06
         1.44544     4.77501e-06     4.77501e-06     4.77501e-06
         1.53697     4.13017e-06     4.13017e-06     4.13017e-06
         1.63431     3.57005e-06     3.57005e-06     3.57005e-06
          1.7378     3.08393e-06     3.08393e-06     3.08393e-06
         1.84785     2.66233e-06     2.66233e-06     2.66233e-06
         1.96487     2.29695e-06     2.29695e-06     2.29695e-06
          2.0893     1.98053e-06     1.98053e-06     1.98053e-06
          2.2216     1.70669e-06     1.70669e-06     1.70669e-06
         2.36229     1.46987e-06     1.46987e-06     1.46987e-06
         2.51189      1.2652e-06      1.2652e-06      1.2652e-06
         2.67096     1.08844e-06     1.08844e-06     1.08844e-06
          2.8401     9.35861e-07     9.35861e-07     9.35861e-07
         3.01995     8.04251e-07     8.04251e-07     8.04251e-07
         3.21119     6.90795e-07     6.90795e-07     6.90795e-07
         3.41455     5.93045e-07     5.93045e-07     5.93045e-07
         3.63078     5.08878e-07     5.08878e-07     5.08878e-07
         3.86071     4.36446e-07     4.36446e-07     4.36446e-07
         4.10519     3.74148e-07     3.74148e-07     3.74148e-07
         4.36516     3.20596e-07     3.20596e-07     3.20596e-07
         4.64159     2.74585e-07     2.74585e-07     2.74585e-07
         4.93552     2.35074e-07     2.35074e-07     2.35074e-07
         5.24807     2.01163e-07     2.01163e-07     2.01163e-07
         5.58042     1.72071e-07     1.72071e-07     1.72071e-07
         5.93381     1.47127e-07     1.47127e-07     1.47127e-07
         6.30957     1.25748e-07     1.25748e-07     1.25748e-07
         6.70914     1.07434e-07     1.07434e-07     1.07434e-07
           7.134     9.17515e-08     9.17515e-08     9.17515e-08
         7.58578     7.83293e-08     7.83293e-08     7.83293e-08
         8.06616     6.68462e-08     6.68462e-08     6.68462e-08
         8.57696     5.70261e-08     5.70261e-08     5.70261e-08
         9.12011     4.86317e-08     4.86317e-08     4.86317e-08
         9.69765     4.14588e-08     4.14588e-08     4.14588e-08
         10.3118      3.5332e-08      3.5332e-08      3.5332e-08
         10.9648     3.01009e-08     3.01009e-08     3.01009e-08
         11.6591      2.5636e-08      2.5636e-08      2.5636e-08
         12.3975     2.18266e-08     2.18266e-08     2.18266e-08
         13.1826     1.85776e-08     1.85776e-08     1.85776e-08
         14.0174     1.58075e-08     1.58075e-08     1.58075e-08
          14.905     1.34465e-08     1.34465e-08     1.34465e-08
         15.8489     1.14349e-08     1.14349e-08     1.14349e-08
         16.8526     9.72152e-09     9.72152e-09     9.72152e-09
         17.9198     8.26258e-09     8.26258e-09     8.26258e-09
         19.0546     7.02071e-09     7.02071e-09     7.02071e-09
         20.2613     5.96393e-09     5.96393e-09     5.96393e-09
         21.5443     5.06491e-09     5.06491e-09     5.06491e-09
         22.9087     4.30033e-09     4.30033e-09     4.30033e-09
         24.3594     3.65027e-09     3.65027e-09     3.65027e-09
          25.902     3.09773e-09     3.09773e-09     3.09773e-09
         27.5423      2.6282e-09      2.6282e-09      2.6282e-09
         29.2864     2.22933e-09     2.22933e-09     2.22933e-09
         31.1411     1.89056e-09     1.89056e-09     1.89056e-09
         33.1131     1.60291e-09     1.60291e-09     1.60291e-09
         35.2101     1.35873e-09     1.35873e-09     1.35873e-09
         37.4398     1.15151e-09     1.15151e-09     1.15151e-09
         39.8107     9.75679e-10     9.75679e-10     9.75679e-10
         42.3318      8.2653e-10      8.2653e-10      8.2653e-10
         45.0125     7.00039e-10     7.00039e-10     7.00039e-10
          47.863     5.92789e-10     5.92789e-10     5.92789e-10
          50.894     5.01873e-10     5.01873e-10     5.01873e-10
          54.117      4.2482e-10      4.2482e-10      4.2482e-10
          57.544     3.59529e-10     3.59529e-10     3.59529e-10
         61.1881     3.04218e-10     3.04218e-10     3.04218e-10
         65.0629     2.57369e-10     2.57369e-10     2.57369e-10
         69.1831     2.17696e-10     2.17696e-10     2.17696e-10
         73.5642     1.84107e-10     1.84107e-10     1.84107e-10
         78.2228     1.55674e-10     1.55674e-10     1.55674e-10
         83.1764      1.3161e-10      1.3161e-10      1.3161e-10
         88.4437     1.11248e-10     1.11248e-10     1.11248e-10
         94.0445     9.40206e-11     9.40206e-11     9.40206e-11
             100     7.94484e-11     7.94484e-11     7.94484e-11
         106.333     6.71244e-11     6.71244e-11     6.71244e-11
         113.066     5.67033e-11     5.67033e-11     5.67033e-11
         120.226     4.78929e-11     4.78929e-11     4.78929e-11
          127.84     4.04455e-11     4.04455e-11     4.04455e-11
         135.936     3.41511e-11     3.41511e-11     3.41511e-11
         144.544     2.88322e-11     2.88322e-11     2.88322e-11
         153.697     2.43383e-11     2.43383e-11     2.43383e-11
         163.431      2.0542e-11      2.0542e-11      2.0542e-11
          173.78     1.73354e-11     1.73354e-11     1.73354e-11
         184.785     1.46275e-11     1.46275e-11     1.46275e-11
         196.487     1.23409e-11     1.23409e-11     1.23409e-11
          208.93     1.04104e-11     1.04104e-11     1.04104e-11
          222.16     8.78076e-12     8.78076e-12     8.78076e-12
         236.229     7.40531e-12     7.40531e-12     7.40531e-12
         251.189     6.24453e-12     6.24453e-12     6.24453e-12
         267.096     5.26507e-12     5.26507e-12     5.26507e-12
          284.01      4.4387e-12      4.4387e-12      4.4387e-12
         301.995     3.74159e-12     3.74159e-12     3.74159e-12
         321.119      3.1536e-12      3.1536e-12      3.1536e-12
         341.455     2.65771e-12     2.65771e-12     2.65771e-12
         363.078     2.23954e-12     2.23954e-12     2.23954e-12
         386.071     1.88696e-12     1.88696e-12     1.88696e-12
         410.519     1.58971e-12     1.58971e-12     1.58971e-12
