#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.450323E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.224564E+00
   0.459419E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.229100E+00
   0.468699E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.233728E+00
   0.478166E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.238449E+00
   0.487825E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.243265E+00
   0.497679E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.248179E+00
   0.507731E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.253192E+00
   0.517987E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.258306E+00
   0.528450E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.263524E+00
   0.539124E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.268847E+00
   0.550014E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.274277E+00
   0.561124E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.279818E+00
   0.572458E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.285470E+00
