#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.449463E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.239443E+00
   0.458527E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.244272E+00
   0.467773E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.249198E+00
   0.477206E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.254223E+00
   0.486829E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.259349E+00
   0.496646E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.264579E+00
   0.506662E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.269915E+00
   0.516879E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.275358E+00
   0.527302E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.280911E+00
   0.537935E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.286575E+00
   0.548783E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.292354E+00
   0.559850E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.298250E+00
   0.571139E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.304264E+00
   0.582657E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.310400E+00
   0.594406E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.316659E+00
   0.606393E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.323045E+00
   0.618621E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.329559E+00
   0.631096E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.336205E+00
   0.643822E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.342985E+00
   0.656805E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.349901E+00
   0.670050E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.356957E+00
   0.683562E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.364155E+00
   0.697347E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.371499E+00
   0.711409E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.378990E+00
   0.725755E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.386633E+00
   0.740390E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.394430E+00
   0.755321E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.402383E+00
   0.770552E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.410498E+00
   0.786091E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.418776E+00
   0.801943E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.427221E+00
   0.818114E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.435836E+00
   0.834612E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.444625E+00
   0.851443E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.453591E+00
   0.868613E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.462738E+00
   0.886129E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.472069E+00
   0.903998E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.481589E+00
   0.922228E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.491300E+00
   0.940825E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.501207E+00
   0.959797E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.511315E+00
   0.979152E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.521625E+00
   0.998897E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.532144E+00
   0.101904E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.542875E+00
   0.103959E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.553823E+00
