# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       7.498222431615e+12       1.261474961425e-23       5.800211511087e-08       1.292758080685e+20       1.414696923042e+04       1.886709731465e-09       1.060771220229e+17       3.348732302870e-08       8.697858731264e+39       1.049900074604e+30       2.001418437827e+39       6.671394792756e+38       3.501956553842e-08       6.012957381632e+39       1.671223455177e+40       1.671223455177e+40       5.570744850241e+39      -3.841777427258e+47       1.344461031667e-02       3.235717981873e-01 
       7.418055814516e+12       1.288887703264e-23       5.862784746569e-08       1.265263021700e+20       1.414696923042e+04       1.907099324156e-09       1.049430073575e+17       3.384921911985e-08       8.331811938462e+39       1.016584066225e+30       1.917189339280e+39       6.390631130934e+38       3.501956553842e-08       5.759903862047e+39       1.600890514081e+40       1.600890514081e+40       5.336301713263e+39      -3.640751916270e+47       1.349137156968e-02       3.224502945239e-01 
       7.338746292089e+12       1.316896143130e-23       5.926267476752e-08       1.238352742094e+20       1.414696923042e+04       1.927709266318e-09       1.038210179840e+17       3.421502620673e-08       7.981170115856e+39       9.843252598045e+29       1.836504997246e+39       6.121683324154e+38       3.501956553842e-08       5.517500024426e+39       1.533517513851e+40       1.533517513851e+40       5.111725045843e+39      -3.450245300984e+47       1.353813282269e-02       3.213365382967e-01 
       7.260284700779e+12       1.345513226508e-23       5.990295903757e-08       1.212014804472e+20       1.414696923042e+04       1.948541939257e-09       1.027110242660e+17       3.458478655556e-08       7.645284949865e+39       9.530901076257e+29       1.759216231703e+39       5.864054105677e+38       3.501956553842e-08       5.285297680076e+39       1.468979886260e+40       1.468979886260e+40       4.896599620548e+39      -3.269707167841e+47       1.358489407571e-02       3.202304495045e-01 
       7.182661975000e+12       1.374752178855e-23       6.055051926523e-08       1.186237035964e+20       1.414696923041e+04       1.969599750016e-09       1.016128979528e+17       3.495854288872e-08       7.323535410994e+39       9.228461265276e+29       1.685180140827e+39       5.617267136089e+38       3.501956553842e-08       5.062867502193e+39       1.407158305494e+40       1.407158305494e+40       4.690527684671e+39      -3.098615904320e+47       1.363165532872e-02       3.191319492382e-01 
       7.105869146093e+12       1.404626514825e-23       6.120353646111e-08       1.161007522599e+20       1.414696923041e+04       1.990885131651e-09       1.005265121651e+17       3.533633839107e-08       7.015326605586e+39       8.935618641229e+29       1.614259836772e+39       5.380866122574e+38       3.501956553842e-08       4.849798232064e+39       1.347938467532e+40       1.347938467532e+40       4.493128224807e+39      -2.936477191884e+47       1.367841658173e-02       3.180409596752e-01 
       7.029897341283e+12       1.435150040598e-23       6.186564860400e-08       1.136314603797e+20       1.414696923041e+04       2.012400543509e-09       9.945174138012e+16       3.571821671327e-08       6.720088675911e+39       8.652068660883e+29       1.546324192580e+39       5.154413975268e+38       3.501956553842e-08       4.645695918674e+39       1.291210878803e+40       1.291210878803e+40       4.304036262388e+39      -2.782822577794e+47       1.372517783475e-02       3.169574040445e-01 
       6.954737782662e+12       1.466336864795e-23       6.253503670450e-08       1.112146866984e+20       1.414696923041e+04       2.034148471518e-09       9.838846141693e+16       3.610422197870e-08       6.437275746526e+39       8.377516444944e+29       1.481247599730e+39       4.937491999099e+38       3.501956553842e-08       4.450183190323e+39       1.236870653742e+40       1.236870653742e+40       4.122902178860e+39      -2.637208121652e+47       1.377193908776e-02       3.158812066277e-01 
       6.880381786167e+12       1.498201400200e-23       6.320988177322e-08       1.088493142311e+20       1.414696923041e+04       2.056131428470e-09       9.733654942241e+16       3.649439878659e-08       6.166364914999e+39       8.111676471386e+29       1.418909735897e+39       4.729699119657e+38       3.501956553842e-08       4.262898556883e+39       1.184817320859e+40       1.184817320859e+40       3.949391069260e+39      -2.499213112759e+47       1.381870034078e-02       3.148122927217e-01 
       6.806820760580e+12       1.530758374791e-23       6.389382178895e-08       1.065342497500e+20       1.414696923041e+04       2.078351954313e-09       9.629588385687e+16       3.688879221895e-08       5.906855285086e+39       7.854272278528e+29       1.359195342487e+39       4.530651141625e+38       3.501956553842e-08       4.083495741432e+39       1.134954636979e+40       1.134954636979e+40       3.783182123002e+39      -2.368438854600e+47       1.386546159380e-02       3.137505886387e-01 
       6.734046206538e+12       1.564022835333e-23       6.458321877290e-08       1.042684232782e+20       1.414696923041e+04       2.100812616444e-09       9.526634448007e+16       3.728744784451e-08       5.658267040617e+39       7.605036177524e+29       1.301994011530e+39       4.339980038433e+38       3.501956553842e-08       3.911643040008e+39       1.087190409292e+40       1.087190409292e+40       3.623968030718e+39      -2.244507512922e+47       1.391222284682e-02       3.126960216770e-01 
       6.662049715544e+12       1.598010155942e-23       6.528171070386e-08       1.020507875958e+20       1.414696923041e+04       2.123516010005e-09       9.424781233728e+16       3.769041172458e-08       5.420140558338e+39       7.363708973975e+29       1.247199981540e+39       4.157333271800e+38       3.501956553842e-08       3.747022708313e+39       1.041436324893e+40       1.041436324893e+40       3.471454416064e+39      -2.127061024091e+47       1.395898409983e-02       3.116485201103e-01 
       6.590822969004e+12       1.632736045348e-23       6.598747859243e-08       9.988031775587e+19       1.414696923041e+04       2.146464758186e-09       9.324016974558e+16       3.809773041848e-08       5.192035558106e+39       7.130039698386e+29       1.194711941974e+39       3.982373139914e+38       3.501956553842e-08       3.589330374221e+39       9.976077875014e+39       9.976077875014e+39       3.325359291434e+39      -2.015760060574e+47       1.400574535285e-02       3.106080131722e-01 
       6.520357737258e+12       1.668216552360e-23       6.670052243862e-08       9.775601061037e+19       1.414696923041e+04       2.169661512522e-09       9.224330028026e+16       3.850945098817e-08       4.973530288834e+39       6.903785345161e+29       1.144432845912e+39       3.814776153041e+38       3.501956553842e-08       3.438274475018e+39       9.556237610455e+39       9.556237610455e+39       3.185412536588e+39      -1.910283050550e+47       1.405250660588e-02       3.095744310338e-01 
       6.450645878636e+12       1.704468076450e-23       6.742084224243e-08       9.567688434685e+19       1.414696923041e+04       2.193108953207e-09       9.125708876134e+16       3.892562100496e-08       4.764220748708e+39       6.684710619892e+29       1.096269730625e+39       3.654232435418e+38       3.501956553842e-08       3.293575718320e+39       9.154066198321e+39       9.154066198321e+39       3.051355399218e+39      -1.810325248818e+47       1.409926785890e-02       3.085477047989e-01 
       6.381679338511e+12       1.741507371045e-23       6.815025699325e-08       9.364197803454e+19       1.414696923041e+04       2.216809789397e-09       9.028142124026e+16       3.934628855335e-08       4.563719938204e+39       6.472587694666e+29       1.050133545693e+39       3.500445152310e+38       3.501956553842e-08       3.154966565678e+39       8.768820050222e+39       8.768820050222e+39       2.922940016525e+39      -1.715597856332e+47       1.414602911192e-02       3.075277664743e-01 
       6.313450148374e+12       1.779351556443e-23       6.888694770169e-08       9.165035118026e+19       1.414696923041e+04       2.240766759526e-09       8.931618498677e+16       3.977150223853e-08       4.371657144563e+39       6.267195971127e+29       1.005938988355e+39       3.353129961184e+38       3.501956553842e-08       3.022190737920e+39       8.399786871465e+39       8.399786871465e+39       2.799928956946e+39      -1.625827185789e+47       1.419279036494e-02       3.065145489721e-01 
       6.245950424909e+12       1.818018122009e-23       6.963091436774e-08       8.970108329371e+19       1.414696923041e+04       2.264982631624e-09       8.836126847583e+16       4.020131118985e-08       4.187677256358e+39       6.068321851071e+29       9.636043457935e+38       3.212014485978e+38       3.501956553842e-08       2.895002741307e+39       8.046284344066e+39       8.046284344066e+39       2.682094781153e+39      -1.540753870901e+47       1.423955161797e-02       3.055079860762e-01 
       6.179172369083e+12       1.857524939951e-23       7.038397598080e-08       8.779327346210e+19       1.414696923040e+04       2.289460203633e-09       8.741656137480e+16       4.063576506864e-08       4.011440106924e+39       5.875758514308e+29       9.230513440484e+38       3.076837813495e+38       3.501956553842e-08       2.773167413631e+39       7.707658865191e+39       7.707658865191e+39       2.569219621534e+39      -1.460132117020e+47       1.428631287099e-02       3.045080124458e-01 
       6.113108265248e+12       1.897890268654e-23       7.114431355149e-08       8.592603993369e+19       1.414696923040e+04       2.314202303732e-09       8.648195453060e+16       4.107491407212e-08       3.842619845406e+39       5.689305703580e+29       8.842050032972e+38       2.947350010991e+38       3.501956553842e-08       2.656459489413e+39       7.383284338686e+39       7.383284338686e+39       2.461094779372e+39      -1.383728990995e+47       1.433307412402e-02       3.035145635866e-01 
       6.047750480246e+12       1.939132764412e-23       7.191192707978e-08       8.409851971032e+19       1.414696923040e+04       2.339211790667e-09       8.555733995720e+16       4.151880894038e-08       3.680904334287e+39       5.508769516305e+29       8.469934992206e+38       2.823311664069e+38       3.501956553842e-08       2.544663183408e+39       7.072561017467e+39       7.072561017467e+39       2.357520338972e+39      -1.311323748175e+47       1.437983537704e-02       3.025275758462e-01 
       5.983091462528e+12       1.981271488997e-23       7.269045454450e-08       8.230986814853e+19       1.414696923040e+04       2.364491554074e-09       8.464261082308e+16       4.196750096191e-08       3.525994572264e+39       5.333962202924e+29       8.113480302043e+38       2.704493434014e+38       3.501956553842e-08       2.437571791627e+39       6.774914394628e+39       6.774914394628e+39       2.258304798032e+39      -1.242707194629e+47       1.442659663007e-02       3.015469863978e-01 
       5.919123741282e+12       2.024325917317e-23       7.347625796683e-08       8.055925856917e+19       1.414696923040e+04       2.390044514821e-09       8.373766143887e+16       4.242104197906e-08       3.377604141413e+39       5.164701971648e+29       7.772026901294e+38       2.590675633765e+38       3.501956553842e-08       2.334987309157e+39       6.489794141215e+39       6.489794141215e+39       2.163264713566e+39      -1.177681082747e+47       1.447335788310e-02       3.005727332234e-01 
       5.855839925570e+12       2.068315949432e-23       7.426933734678e-08       7.884588187535e+19       1.414696923040e+04       2.415873625340e-09       8.284238724521e+16       4.287948439512e-08       3.235458677625e+39       5.000812799410e+29       7.444943465165e+38       2.481647821722e+38       3.501956553842e-08       2.236720064061e+39       6.216673088702e+39       6.216673088702e+39       2.072224362734e+39      -1.116057538458e+47       1.452011913613e-02       2.996047551094e-01 
       5.793232703473e+12       2.113261915191e-23       7.507151167374e-08       7.716894617848e+19       1.414696923040e+04       2.441981869970e-09       8.195668480060e+16       4.334288117881e-08       3.099295363322e+39       4.842124248799e+29       7.131625237976e+38       2.377208412659e+38       3.501956553842e-08       2.142588366693e+39       5.955046254296e+39       5.955046254296e+39       1.985015417937e+39      -1.057658518418e+47       1.456688038916e-02       2.986429916211e-01 
       5.731294841248e+12       2.159184589436e-23       7.588278094772e-08       7.552767643224e+19       1.414696923040e+04       2.468372265301e-09       8.108045176950e+16       4.381128587235e-08       2.968862441526e+39       4.688471290823e+29       6.831492915013e+38       2.277164305004e+38       3.501956553842e-08       2.052418173758e+39       5.704429907253e+39       5.704429907253e+39       1.901476635595e+39      -1.002315295616e+47       1.461364164219e-02       2.976873831054e-01 
       5.670019182489e+12       2.206105194848e-23       7.670314516872e-08       7.392131407445e+19       1.414696923040e+04       2.495047860523e-09       8.021358691046e+16       4.428475259539e-08       2.843918750375e+39       4.539694133276e+29       6.543991571423e+38       2.181330523808e+38       3.501956553842e-08       1.966042766522e+39       5.464360674493e+39       5.464360674493e+39       1.821453558013e+39      -9.498679718736e+46       1.466040289522e-02       2.967378706615e-01 
       5.609398647303e+12       2.254045419143e-23       7.753260433674e-08       7.234911667639e+19       1.414696923040e+04       2.522011737782e-09       7.935599006445e+16       4.476333605370e-08       2.724233277234e+39       4.395638054570e+29       6.268589636205e+38       2.089529878735e+38       3.501956553842e-08       1.883302442560e+39       5.234394683854e+39       5.234394683854e+39       1.744798227805e+39      -9.001650158766e+46       1.470716414826e-02       2.957943961469e-01 
       5.549426231492e+12       2.303027417781e-23       7.837115845177e-08       7.081035759974e+19       1.414696923040e+04       2.549267012527e-09       7.850756214329e+16       4.524709154313e-08       2.609584731565e+39       4.256153242828e+29       6.004777909363e+38       2.001592636454e+38       3.501956553842e-08       1.804044220477e+39       5.014106743404e+39       5.014106743404e+39       1.671368914326e+39      -8.530628253629e+46       1.475392540129e-02       2.948569021480e-01 
       5.490095005742e+12       2.353073829980e-23       7.921698852442e-08       6.930432566068e+19       1.414696923040e+04       2.576816833880e-09       7.766820511819e+16       4.573607495782e-08       2.499761135776e+39       4.121094640082e+29       5.752068620431e+38       1.917356206810e+38       3.501956553842e-08       1.728121557051e+39       4.803089555282e+39       4.803089555282e+39       1.601029851623e+39      -8.084253122273e+46       1.480068665433e-02       2.939253319818e-01 
       5.431398114822e+12       2.404207786223e-23       8.007373253349e-08       6.783032480123e+19       1.414696923040e+04       2.604664384993e-09       7.683782200842e+16       4.623034279575e-08       2.394559433289e+39       3.990321791428e+29       5.509994526618e+38       1.836664842206e+38       3.501956553842e-08       1.655394076291e+39       4.600952962641e+39       4.600952962641e+39       1.533650987414e+39      -7.661235093345e+46       1.484744790736e-02       2.929996296781e-01 
       5.373328776795e+12       2.456452918956e-23       8.093775250018e-08       6.638767376754e+19       1.414696923039e+04       2.632812883419e-09       7.601631687012e+16       4.672995216526e-08       2.293785113101e+39       3.863698698953e+29       5.278108048907e+38       1.759369349636e+38       3.501956553842e-08       1.585727309887e+39       4.407323228265e+39       4.407323228265e+39       1.469107742626e+39      -7.260351979057e+46       1.489420916040e-02       2.920797399678e-01 
       5.315880282232e+12       2.509833376020e-23       8.181268640328e-08       6.497570579501e+19       1.414696923039e+04       2.661265581484e-09       7.520359478520e+16       4.723496079242e-08       2.197251850149e+39       3.741093680304e+29       5.055980444510e+38       1.685326814837e+38       3.501956553842e-08       1.518992448586e+39       4.221842343560e+39       4.221842343560e+39       1.407280781062e+39      -6.880445544034e+46       1.494097041343e-02       2.911656082781e-01 
       5.259045993436e+12       2.564373827194e-23       8.269671525341e-08       6.359376830017e+19       1.414696923039e+04       2.690025766659e-09       7.439956185038e+16       4.774542702629e-08       2.104781160802e+39       3.622379231746e+29       4.843201014151e+38       1.614400338050e+38       3.501956553842e-08       1.455066104037e+39       4.044167366616e+39       4.044167366616e+39       1.348055788751e+39      -6.520418158924e+46       1.498773166647e-02       2.902571807108e-01 
       5.202819343679e+12       2.620099481937e-23       8.359165803995e-08       6.224122257902e+19       1.414696923039e+04       2.719096761946e-09       7.360412516633e+16       4.826140984758e-08       2.016202072860e+39       3.507431895562e+29       4.639376342711e+38       1.546458780904e+38       3.501956553842e-08       1.393830080648e+39       3.873969788131e+39       3.873969788131e+39       1.291323262593e+39      -6.179229629117e+46       1.503449291951e-02       2.893544040462e-01 
       5.147193836439e+12       2.677036093338e-23       8.449387678411e-08       6.091744351184e+19       1.414696923039e+04       2.748481926256e-09       7.281719282697e+16       4.878296887317e-08       1.931350809439e+39       3.396132131664e+29       4.444129571831e+38       1.481376523944e+38       3.501956553842e-08       1.335171157056e+39       3.710934924018e+39       3.710934924018e+39       1.236978307893e+39      -5.855894189408e+46       1.508125417255e-02       2.884572257157e-01 
       5.092163044650e+12       2.735209978746e-23       8.540700946469e-08       5.962181927430e+19       1.414696923039e+04       2.778184654800e-09       7.203867390881e+16       4.931016436557e-08       1.850070486153e+39       3.288364193276e+29       4.257099703122e+38       1.419033234374e+38       3.501956553842e-08       1.278980876784e+39       3.554761333578e+39       3.554761333578e+39       1.184920444416e+39      -5.549477655914e+46       1.512801542559e-02       2.875655938102e-01 
       5.037720609963e+12       2.794648022908e-23       8.633105608169e-08       5.835375105469e+19       1.414696923039e+04       2.808208379482e-09       7.126847846045e+16       4.984305723722e-08       1.772210821052e+39       3.184016006563e+29       4.077940930703e+38       1.359313643568e+38       3.501956553842e-08       1.225155347712e+39       3.405160262152e+39       3.405160262152e+39       1.135053420611e+39      -5.259094727018e+46       1.517477667864e-02       2.866794570515e-01 
