# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.092433247891e-26       4.349203663878e-09       2.299326381292e+22       1.414696923047e+04       1.414696923047e-10       1.414696923047e+18       2.510953964113e-09       2.751560535470e+44       2.490422367464e+33       6.331470950076e+43       2.110490316692e+43       3.501956553842e-08       1.902194177205e+44       5.286901807707e+44       5.286901807707e+44       1.762300602561e+44      -1.620841706894e+53       2.175148361932e-03       2.000000000000e+00 
       9.893085837570e+13       7.246556853496e-26       4.396497388370e-09       2.250423098129e+22       1.414696923047e+04       1.429985493176e-10       1.399571809385e+18       2.538089739217e-09       2.635761930281e+44       2.411394910978e+33       6.065012881878e+43       2.021670960626e+43       3.501956553842e-08       1.822140902098e+44       5.064404120591e+44       5.064404120591e+44       1.688134706856e+44      -1.536029263037e+53       2.221909614820e-03       1.957908951181e+00 
       9.787314738953e+13       7.404029658306e-26       4.443791112863e-09       2.202559915720e+22       1.414696923047e+04       1.445439286239e-10       1.384608404609e+18       2.565518768557e-09       2.524836674885e+44       2.334875197339e+33       5.809768622077e+43       1.936589540692e+43       3.501956553842e-08       1.745456645219e+44       4.851270182335e+44       4.851270182335e+44       1.617090060771e+44      -1.455654729805e+53       2.268670867702e-03       1.917553041712e+00 
       9.682674483178e+13       7.564924449059e-26       4.491084837355e-09       2.155714712655e+22       1.414696923047e+04       1.461060087794e-10       1.369804979822e+18       2.593244221855e-09       2.418579675807e+44       2.260783649468e+33       5.565266240889e+43       1.855088746963e+43       3.501956553842e-08       1.671999622440e+44       4.647105922358e+44       4.647105922358e+44       1.549035307445e+44      -1.379485888319e+53       2.315432120581e-03       1.878827146122e+00 
       9.579152979933e+13       7.729315600571e-26       4.540197551250e-09       2.109865838015e+22       1.414696923047e+04       1.476849702694e-10       1.355159824611e+18       2.621269303099e-09       2.316794470871e+44       2.189043215469e+33       5.331053669553e+43       1.777017889851e+43       3.501956553842e-08       1.601634016574e+44       4.451533854422e+44       4.451533854422e+44       1.483844618133e+44      -1.307302670823e+53       2.362193373462e-03       1.841634462243e+00 
       9.476738268169e+13       7.897279087396e-26       4.589310265146e-09       2.064992101362e+22       1.414696923047e+04       1.492809955297e-10       1.340671246850e+18       2.649597250183e-09       2.219292865953e+44       2.119579288499e+33       5.106697864488e+43       1.702232621496e+43       3.501956553842e-08       1.534229726263e+44       4.264192378686e+44       4.264192378686e+44       1.421397459555e+44      -1.238896524867e+53       2.408954626341e-03       1.805885704712e+00 
       9.375418514718e+13       8.068892538518e-26       4.638422979042e-09       2.021072762948e+22       1.414696923047e+04       1.508942689680e-10       1.326337572505e+18       2.678231336166e-09       2.125894587024e+44       2.052319629182e+33       4.891784006623e+43       1.630594668874e+43       3.501956553842e-08       1.469662125423e+44       4.084735113130e+44       4.084735113130e+44       1.361578371036e+44      -1.174069810751e+53       2.455715879219e-03       1.771498388654e+00 
       9.275182012925e+13       8.244235271748e-26       4.689354682341e-09       1.978087524130e+22       1.414696923047e+04       1.525249769843e-10       1.312157145439e+18       2.707174869533e-09       2.036426946831e+44       1.987194290481e+33       4.685914734423e+43       1.561971578141e+43       3.501956553842e-08       1.407811832824e+44       3.912830253118e+44       3.912830253118e+44       1.304276751033e+44      -1.112635230504e+53       2.502477132098e-03       1.738396194399e+00 
       9.176017181296e+13       8.423388333907e-26       4.740286385641e-09       1.936016517985e+22       1.414696923047e+04       1.541733079937e-10       1.298128327221e+18       2.736431194542e-09       1.950724525616e+44       1.924135544956e+33       4.488709409196e+43       1.496236469732e+43       3.501956553842e-08       1.348564491358e+44       3.748159957912e+44       3.748159957912e+44       1.249386652631e+44      -1.054415286743e+53       2.549238384976e-03       1.706508402066e+00 
       9.077912562158e+13       8.606434524198e-26       4.791218088940e-09       1.894840300134e+22       1.414696923047e+04       1.558394524469e-10       1.284249496937e+18       2.766003691475e-09       1.868628865258e+44       1.863077814332e+33       4.299803411315e+43       1.433267803772e+43       3.501956553842e-08       1.291810556602e+44       3.590419763010e+44       3.590419763010e+44       1.196806587664e+44      -9.992417698423e+52       2.595999637853e-03       1.675769387304e+00 
       8.980856820338e+13       8.793458436978e-26       4.842149792239e-09       1.854539839746e+22       1.414696923047e+04       1.575236028530e-10       1.270519051006e+18       2.795895777122e-09       1.789988176302e+44       1.803957601300e+33       4.118847466063e+43       1.372949155354e+43       3.501956553842e-08       1.237445094279e+44       3.439318017205e+44       3.439318017205e+44       1.146439339062e+44      -9.469552719418e+52       2.642760890728e-03       1.646118170431e+00 
       8.884838741853e+13       8.984546509759e-26       4.894900484942e-09       1.815096510752e+22       1.414696923047e+04       1.592259538018e-10       1.256935402987e+18       2.826110905259e-09       1.714657057307e+44       1.746713423485e+33       3.945506997842e+43       1.315168999281e+43       3.501956553842e-08       1.185367586236e+44       3.294575343345e+44       3.294575343345e+44       1.098191781109e+44      -8.974047263856e+52       2.689522143602e-03       1.617498012607e+00 
       8.789847232612e+13       9.179787063117e-26       4.947651177645e-09       1.776492083231e+22       1.414696923047e+04       1.609467019857e-10       1.243496983403e+18       2.856652567031e-09       1.642496226007e+44       1.691285749500e+33       3.779461511573e+43       1.259820503858e+43       3.501956553842e-08       1.135481744601e+44       3.155924121782e+44       3.155924121782e+44       1.051974707255e+44      -8.504469712574e+52       2.736283396473e-03       1.589856053480e+00 
       8.695871317136e+13       9.379270331451e-26       5.002220859751e-09       1.738708714984e+22       1.414696923047e+04       1.626860462228e-10       1.230202239557e+18       2.887524291257e-09       1.573372261788e+44       1.637616937045e+33       3.620404000112e+43       1.206801333371e+43       3.501956553842e-08       1.087695333746e+44       3.023107995561e+44       3.023107995561e+44       1.007702665182e+44      -8.059463357564e+52       2.783044649343e-03       1.563142985409e+00 
       8.602900137289e+13       9.583088509241e-26       5.054971552454e-09       1.701728943291e+22       1.414696923047e+04       1.644441874799e-10       1.217049635350e+18       2.918729644883e-09       1.507157359005e+44       1.585651172954e+33       3.468040376624e+43       1.156013458875e+43       3.501956553842e-08       1.041919999751e+44       2.895881396434e+44       2.895881396434e+44       9.652937988060e+43      -7.637742482153e+52       2.829805902210e-03       1.537312759904e+00 
       8.510922951025e+13       9.791335796846e-26       5.109541234560e-09       1.665535676837e+22       1.414696923047e+04       1.662213288956e-10       1.204037651110e+18       2.950272233423e-09       1.443729090674e+44       1.535334415158e+33       3.322088930826e+43       1.107362976942e+43       3.501956553842e-08       9.980711070464e+43       2.774009090818e+44       2.774009090818e+44       9.246696969344e+43      -7.238088646305e+52       2.876567155076e-03       1.512322322706e+00 
