# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.980856820338e+13       8.793458436979e-26       4.842149792239e-09       1.854539839746e+22       1.423913801857e+04       1.585498834179e-10       1.278796597898e+18       2.795895777122e-09       1.789988176302e+44       1.803957601300e+33       4.118847466063e+43       1.372949155354e+43       1.731540006286e-08       1.237445094279e+44       3.439318017205e+44       3.439318017205e+44       1.146439339062e+44      -9.469552719418e+52       2.848271106390e-03       1.646118170431e+00 
       8.884838741853e+13       8.984546509759e-26       4.894900484942e-09       1.815096510752e+22       1.423913801857e+04       1.602633253376e-10       1.265124451180e+18       2.826110905259e-09       1.714657057307e+44       1.746713423485e+33       3.945506997842e+43       1.315168999281e+43       1.731540006286e-08       1.185367586236e+44       3.294575343345e+44       3.294575343345e+44       1.098191781109e+44      -8.974047263856e+52       2.898668675812e-03       1.617498012607e+00 
       8.789847232612e+13       9.179787063117e-26       4.947651177645e-09       1.776492083231e+22       1.423913801857e+04       1.619952843520e-10       1.251598479073e+18       2.856652567031e-09       1.642496226007e+44       1.691285749500e+33       3.779461511573e+43       1.259820503858e+43       1.731540006286e-08       1.135481744601e+44       3.155924121782e+44       3.155924121782e+44       1.051974707255e+44      -8.504469712574e+52       2.949066245233e-03       1.589856053480e+00 
       8.695871317136e+13       9.379270331451e-26       5.002220859751e-09       1.738708714984e+22       1.423913801857e+04       1.637459605746e-10       1.238217118765e+18       2.887524291257e-09       1.573372261788e+44       1.637616937045e+33       3.620404000112e+43       1.206801333371e+43       1.731540006286e-08       1.087695333746e+44       3.023107995561e+44       3.023107995561e+44       1.007702665182e+44      -8.059463357564e+52       2.999463814651e-03       1.563142985409e+00 
       8.602900137289e+13       9.583088509241e-26       5.054971552454e-09       1.701728943291e+22       1.423913801857e+04       1.655155562815e-10       1.224978824149e+18       2.918729644883e-09       1.507157359005e+44       1.585651172954e+33       3.468040376624e+43       1.156013458875e+43       1.731540006286e-08       1.041919999751e+44       2.895881396434e+44       2.895881396434e+44       9.652937988060e+43      -7.637742482153e+52       3.049861384068e-03       1.537312759904e+00 
       8.510922951025e+13       9.791335796846e-26       5.109541234560e-09       1.665535676837e+22       1.423913801857e+04       1.673042759347e-10       1.211882065651e+18       2.950272233423e-09       1.443729090674e+44       1.535334415158e+33       3.322088930826e+43       1.107362976942e+43       1.731540006286e-08       9.980711070464e+43       2.774009090818e+44       2.774009090818e+44       9.246696969344e+43      -7.238088646305e+52       3.100258953482e-03       1.512322322706e+00 
       8.419929131143e+13       1.000410844535e-25       5.165929906070e-09       1.630112187816e+22       1.423913801857e+04       1.691123262060e-10       1.198925330050e+18       2.982155701392e-09       1.382970182115e+44       1.486614336480e+33       3.182279808132e+43       1.060759936044e+43       1.731540006286e-08       9.560675819248e+43       2.657265744868e+44       2.657265744868e+44       8.857552482842e+43      -6.859347166284e+52       3.150656522893e-03       1.488131374307e+00 
       8.329908164066e+13       1.022150478780e-25       5.220499588177e-09       1.595442104196e+22       1.423913801857e+04       1.709399160005e-10       1.186107120302e+18       3.014383732597e-09       1.324768294116e+44       1.439440270216e+33       3.048354510705e+43       1.016118170235e+43       1.731540006286e-08       9.158317626413e+43       2.545435507842e+44       2.545435507842e+44       8.484785026093e+43      -6.500423778538e+52       3.201054092302e-03       1.464702153151e+00 
       8.240849648618e+13       1.044362530383e-25       5.276888259687e-09       1.561509402155e+22       1.423913801857e+04       1.727872564810e-10       1.173425955370e+18       3.046960050756e-09       1.269015815230e+44       1.393763157448e+33       2.920065419511e+43       9.733551398371e+42       1.731540006286e-08       8.772892558222e+43       2.438311613018e+44       2.438311613018e+44       8.127705376679e+43      -6.160281478139e+52       3.251451661710e-03       1.441999238854e+00 
       8.152743294829e+13       1.067057265417e-25       5.335095920600e-09       1.528298398672e+22       1.423913801857e+04       1.746545610924e-10       1.160880370051e+18       3.079888419795e-09       1.215609662805e+44       1.349535496021e+33       2.797175336491e+43       9.323917788304e+42       1.731540006286e-08       8.403687989172e+43       2.335695995384e+44       2.335695995384e+44       7.785653317903e+43      -5.837937522658e+52       3.301849231117e-03       1.419989373599e+00 
