# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       8.152743294829e+13       1.137330287973e-25       5.686160875484e-09       1.433868355813e+22       1.448072504039e+04       1.776178215936e-10       1.180576339773e+18       3.282720147210e-09       1.215609662805e+44       1.362631226213e+33       6.752862713977e+33       3.592470360975e-08       8.403687989172e+43       2.055978461803e+44       2.055978461803e+44       6.853261539073e+43      -4.821285056882e+52       8.160124771692e-06       1.419989373602e+00 
       8.065578922741e+13       1.162045278021e-25       5.748006515205e-09       1.403372089257e+22       1.448072504039e+04       1.795373299189e-10       1.167954306718e+18       3.318196365696e-09       1.164451092389e+44       1.319391460404e+33       6.538577148902e+33       3.592470360975e-08       8.050021284391e+43       1.969453220907e+44       1.969453220907e+44       6.564844069427e+43      -4.569005660032e+52       8.284676326221e-06       1.398641299539e+00 
       7.979346461238e+13       1.187297342356e-25       5.809852154925e-09       1.373524433343e+22       1.448072504039e+04       1.814775822900e-10       1.155467221072e+18       3.354055974190e-09       1.115445515164e+44       1.277523802697e+33       6.331091411597e+33       3.592470360975e-08       7.711238537489e+43       1.886569368989e+44       1.886569368989e+44       6.288564563044e+43      -4.329927078592e+52       8.409227880752e-06       1.377925610716e+00 
       7.894035946874e+13       1.213098151994e-25       5.871697794646e-09       1.344311593077e+22       1.448072504039e+04       1.834388028867e-10       1.143113640057e+18       3.390303115977e-09       1.068502323054e+44       1.236984712603e+33       6.130189726173e+33       3.592470360975e-08       7.386713361536e+43       1.807173659281e+44       1.807173659281e+44       6.023912197359e+43      -4.103358564408e+52       8.533779435284e-06       1.357814617910e+00 
       7.809637522728e+13       1.239459631418e-25       5.935362423770e-09       1.315720066867e+22       1.448072504039e+04       1.854212183120e-10       1.130892136318e+18       3.426941979100e-09       1.023534721195e+44       1.197732031280e+33       5.935663163866e+33       3.592470360975e-08       7.075845730907e+43       1.731119294357e+44       1.731119294357e+44       5.770397647618e+43      -3.888645513535e+52       8.658330989816e-06       1.338282225163e+00 
       7.726141437266e+13       1.266393964496e-25       5.999027052894e-09       1.287736640279e+22       1.448072504039e+04       1.874250576174e-10       1.118801297763e+18       3.463976796880e-09       9.804595674597e+43       1.159724937696e+33       5.747309425750e+33       3.592470360975e-08       6.778060871876e+43       1.658265654716e+44       1.658265654716e+44       5.527552182158e+43      -3.685167574947e+52       8.782882544349e-06       1.319303816798e+00 
       7.643538043208e+13       1.293913599523e-25       6.064510671422e-09       1.260348379929e+22       1.448072504039e+04       1.894505523298e-10       1.106839727395e+18       3.501411848368e-09       9.391972187335e+43       1.122923906173e+33       5.564932632364e+33       3.592470360975e-08       6.492808199900e+43       1.588478038790e+44       1.588478038790e+44       5.294926795745e+43      -3.492336858213e+52       8.907434098882e-06       1.300856153932e+00 
       7.561817796419e+13       1.322031255632e-25       6.129994289950e-09       1.233542627510e+22       1.448072504039e+04       1.914979364783e-10       1.095006043155e+18       3.539251458879e-09       8.996713836576e+43       1.087290665286e+33       5.388343119999e+33       3.592470360975e-08       6.219560301621e+43       1.521627413884e+44       1.521627413884e+44       5.072091379399e+43      -3.309596234957e+52       9.031985653415e-06       1.282917279540e+00 
       7.480971254804e+13       1.350759928562e-25       6.197296897881e-09       1.207306993936e+22       1.448072504039e+04       1.935674466213e-10       1.083298877759e+18       3.577500000477e-09       8.618089815724e+43       1.052788158056e+33       5.217357243462e+33       3.592470360975e-08       5.957811959714e+43       1.457590177607e+44       1.457590177607e+44       4.858633925146e+43      -3.136417729201e+52       9.156537207949e-06       1.265466431284e+00 
       7.400989077217e+13       1.380112895898e-25       6.262780516408e-09       1.181629353619e+22       1.448072504039e+04       1.956593218732e-10       1.071716878541e+18       3.616161892458e-09       8.255400073962e+43       1.019380503420e+33       5.051797185090e+33       3.592470360975e-08       5.707079218778e+43       1.396247929335e+44       1.396247929335e+44       4.654159764247e+43      -2.972300991929e+52       9.281088762483e-06       1.248483961328e+00 
       7.321862022383e+13       1.410103724190e-25       6.331902113743e-09       1.156497838866e+22       1.448072504039e+04       1.977738039330e-10       1.060258707298e+18       3.655241601890e-09       7.907974021903e+43       9.870329589113e+32       4.891490769826e+33       3.592470360975e-08       5.466898490527e+43       1.337487251302e+44       1.337487251302e+44       4.458290837477e+43      -2.816771855474e+52       9.405640317019e-06       1.231951262567e+00 
