#           k/h    P           
   0.420980E-02   0.133202E+05
   0.429484E-02   0.135166E+05
   0.438160E-02   0.137143E+05
   0.447012E-02   0.139134E+05
   0.456042E-02   0.141138E+05
   0.465255E-02   0.143155E+05
   0.474653E-02   0.145183E+05
   0.484242E-02   0.147222E+05
   0.494024E-02   0.149271E+05
   0.504004E-02   0.151331E+05
   0.514186E-02   0.153399E+05
   0.524573E-02   0.155475E+05
   0.535170E-02   0.157559E+05
   0.545981E-02   0.159649E+05
   0.557011E-02   0.161745E+05
   0.568263E-02   0.163845E+05
   0.579743E-02   0.165949E+05
   0.591455E-02   0.168055E+05
   0.603403E-02   0.170163E+05
   0.615592E-02   0.172272E+05
   0.628028E-02   0.174380E+05
   0.640715E-02   0.176485E+05
   0.653658E-02   0.178588E+05
   0.666863E-02   0.180686E+05
   0.680335E-02   0.182778E+05
   0.694078E-02   0.184863E+05
   0.708100E-02   0.186940E+05
   0.722404E-02   0.189006E+05
   0.736998E-02   0.191061E+05
   0.751886E-02   0.193102E+05
   0.767075E-02   0.195128E+05
   0.782571E-02   0.197137E+05
   0.798380E-02   0.199128E+05
   0.814509E-02   0.201099E+05
   0.830963E-02   0.203048E+05
   0.847750E-02   0.204972E+05
   0.864875E-02   0.206870E+05
   0.882347E-02   0.208741E+05
   0.900171E-02   0.210581E+05
   0.918356E-02   0.212388E+05
   0.936908E-02   0.214161E+05
   0.955835E-02   0.215897E+05
   0.975144E-02   0.217594E+05
   0.994843E-02   0.219249E+05
   0.101494E-01   0.220860E+05
   0.103544E-01   0.222424E+05
   0.105636E-01   0.223939E+05
   0.107770E-01   0.225403E+05
   0.109947E-01   0.226812E+05
   0.112168E-01   0.228163E+05
   0.114434E-01   0.229455E+05
   0.116746E-01   0.230684E+05
   0.119104E-01   0.231847E+05
   0.121510E-01   0.232942E+05
   0.123965E-01   0.233965E+05
   0.126469E-01   0.234913E+05
   0.129024E-01   0.235784E+05
   0.131631E-01   0.236575E+05
   0.134290E-01   0.237282E+05
   0.137003E-01   0.237902E+05
