#           k/h    P           
   0.420980E-02   0.132518E+05
   0.429484E-02   0.134477E+05
   0.438160E-02   0.136450E+05
   0.447012E-02   0.138437E+05
   0.456042E-02   0.140437E+05
   0.465255E-02   0.142450E+05
   0.474653E-02   0.144475E+05
   0.484242E-02   0.146512E+05
   0.494024E-02   0.148559E+05
   0.504004E-02   0.150617E+05
   0.514186E-02   0.152684E+05
   0.524573E-02   0.154760E+05
   0.535170E-02   0.156844E+05
   0.545981E-02   0.158935E+05
   0.557011E-02   0.161032E+05
   0.568263E-02   0.163135E+05
   0.579743E-02   0.165242E+05
   0.591455E-02   0.167353E+05
   0.603403E-02   0.169467E+05
   0.615592E-02   0.171581E+05
   0.628028E-02   0.173696E+05
   0.640715E-02   0.175811E+05
   0.653658E-02   0.177923E+05
   0.666863E-02   0.180033E+05
   0.680335E-02   0.182138E+05
   0.694078E-02   0.184237E+05
   0.708100E-02   0.186329E+05
   0.722404E-02   0.188413E+05
   0.736998E-02   0.190487E+05
   0.751886E-02   0.192550E+05
   0.767075E-02   0.194600E+05
   0.782571E-02   0.196635E+05
   0.798380E-02   0.198654E+05
   0.814509E-02   0.200655E+05
   0.830963E-02   0.202637E+05
   0.847750E-02   0.204598E+05
   0.864875E-02   0.206536E+05
   0.882347E-02   0.208448E+05
   0.900171E-02   0.210334E+05
   0.918356E-02   0.212191E+05
   0.936908E-02   0.214017E+05
   0.955835E-02   0.215810E+05
   0.975144E-02   0.217568E+05
   0.994843E-02   0.219288E+05
   0.101494E-01   0.220970E+05
   0.103544E-01   0.222609E+05
   0.105636E-01   0.224204E+05
   0.107770E-01   0.225753E+05
   0.109947E-01   0.227254E+05
   0.112168E-01   0.228703E+05
   0.114434E-01   0.230098E+05
   0.116746E-01   0.231437E+05
   0.119104E-01   0.232718E+05
   0.121510E-01   0.233937E+05
   0.123965E-01   0.235092E+05
   0.126469E-01   0.236181E+05
   0.129024E-01   0.237201E+05
   0.131631E-01   0.238149E+05
   0.134290E-01   0.239022E+05
   0.137003E-01   0.239819E+05
   0.139770E-01   0.240536E+05
   0.142594E-01   0.241171E+05
   0.145474E-01   0.241721E+05
   0.148413E-01   0.242183E+05
   0.151411E-01   0.242556E+05
   0.154470E-01   0.242836E+05
   0.157590E-01   0.243021E+05
   0.160774E-01   0.243109E+05
   0.164022E-01   0.243097E+05
   0.167335E-01   0.242983E+05
   0.170716E-01   0.242766E+05
   0.174164E-01   0.242443E+05
   0.177683E-01   0.242012E+05
   0.181272E-01   0.241472E+05
   0.184934E-01   0.240822E+05
   0.188670E-01   0.240059E+05
   0.192481E-01   0.239182E+05
   0.196370E-01   0.238192E+05
   0.200337E-01   0.237087E+05
   0.204384E-01   0.235866E+05
   0.208513E-01   0.234530E+05
   0.212725E-01   0.233078E+05
   0.217022E-01   0.231511E+05
   0.221406E-01   0.229830E+05
   0.225879E-01   0.228036E+05
   0.230442E-01   0.226130E+05
   0.235097E-01   0.224114E+05
   0.239847E-01   0.221990E+05
   0.244692E-01   0.219761E+05
   0.249635E-01   0.217430E+05
   0.254678E-01   0.215000E+05
   0.259823E-01   0.212474E+05
   0.265072E-01   0.209859E+05
   0.270426E-01   0.207157E+05
   0.275889E-01   0.204374E+05
   0.281463E-01   0.201516E+05
   0.287149E-01   0.198588E+05
   0.292949E-01   0.195598E+05
   0.298867E-01   0.192551E+05
   0.304905E-01   0.189455E+05
   0.311064E-01   0.186317E+05
   0.317348E-01   0.183145E+05
   0.323759E-01   0.179948E+05
   0.330299E-01   0.176733E+05
   0.336972E-01   0.173509E+05
   0.343779E-01   0.170284E+05
   0.350724E-01   0.167068E+05
   0.357809E-01   0.163868E+05
   0.365038E-01   0.160694E+05
   0.372412E-01   0.157554E+05
   0.379935E-01   0.154457E+05
   0.387610E-01   0.151410E+05
   0.395440E-01   0.148422E+05
   0.403429E-01   0.145499E+05
   0.411579E-01   0.142650E+05
   0.419893E-01   0.139879E+05
   0.428375E-01   0.137193E+05
   0.437029E-01   0.134597E+05
   0.445858E-01   0.132095E+05
   0.454865E-01   0.129689E+05
   0.464053E-01   0.127384E+05
   0.473428E-01   0.125178E+05
   0.482992E-01   0.123074E+05
   0.492749E-01   0.121069E+05
   0.502703E-01   0.119162E+05
   0.512858E-01   0.117348E+05
   0.523219E-01   0.115623E+05
   0.533789E-01   0.113981E+05
   0.544572E-01   0.112413E+05
   0.555573E-01   0.110911E+05
   0.566796E-01   0.109465E+05
   0.578246E-01   0.108062E+05
   0.589927E-01   0.106692E+05
   0.601845E-01   0.105339E+05
   0.614003E-01   0.103989E+05
   0.626407E-01   0.102629E+05
   0.639061E-01   0.101242E+05
   0.651971E-01   0.998150E+04
   0.665142E-01   0.983325E+04
   0.678578E-01   0.967822E+04
   0.692287E-01   0.951522E+04
   0.706272E-01   0.934328E+04
   0.720539E-01   0.916169E+04
   0.735095E-01   0.897006E+04
   0.749945E-01   0.876831E+04
   0.765095E-01   0.855665E+04
   0.780551E-01   0.833574E+04
   0.796319E-01   0.810661E+04
   0.812406E-01   0.787069E+04
   0.828817E-01   0.762974E+04
   0.845561E-01   0.738581E+04
   0.862642E-01   0.714117E+04
   0.880068E-01   0.689827E+04
   0.897847E-01   0.665966E+04
   0.915985E-01   0.642785E+04
   0.934489E-01   0.620523E+04
   0.953367E-01   0.599402E+04
   0.972626E-01   0.579611E+04
   0.992274E-01   0.561301E+04
   0.101232E+00   0.544575E+04
   0.103277E+00   0.529487E+04
   0.105363E+00   0.516037E+04
   0.107492E+00   0.504169E+04
   0.109663E+00   0.493768E+04
   0.111879E+00   0.484662E+04
   0.114139E+00   0.476624E+04
   0.116445E+00   0.469383E+04
   0.118797E+00   0.462628E+04
   0.121197E+00   0.456038E+04
   0.123645E+00   0.449282E+04
   0.126143E+00   0.442058E+04
   0.128691E+00   0.434090E+04
   0.131291E+00   0.425176E+04
   0.133943E+00   0.415194E+04
   0.136649E+00   0.404120E+04
   0.139409E+00   0.392050E+04
   0.142226E+00   0.379178E+04
   0.145099E+00   0.365776E+04
   0.148030E+00   0.352175E+04
   0.151020E+00   0.338740E+04
   0.154071E+00   0.325832E+04
   0.157184E+00   0.313780E+04
   0.160359E+00   0.302846E+04
   0.163598E+00   0.293195E+04
   0.166903E+00   0.284878E+04
   0.170275E+00   0.277829E+04
   0.173715E+00   0.271891E+04
   0.177224E+00   0.266793E+04
   0.180804E+00   0.262227E+04
   0.184457E+00   0.257825E+04
   0.188183E+00   0.253225E+04
   0.191985E+00   0.248131E+04
   0.195863E+00   0.242343E+04
   0.199820E+00   0.235792E+04
   0.203856E+00   0.228572E+04
   0.207974E+00   0.220897E+04
   0.212176E+00   0.213056E+04
   0.216462E+00   0.205373E+04
   0.220835E+00   0.198167E+04
   0.225296E+00   0.191687E+04
   0.229847E+00   0.186053E+04
   0.234490E+00   0.181257E+04
   0.239227E+00   0.177156E+04
   0.244060E+00   0.173506E+04
   0.248990E+00   0.170030E+04
   0.254020E+00   0.166473E+04
   0.259152E+00   0.162626E+04
   0.264387E+00   0.158400E+04
   0.269728E+00   0.153851E+04
   0.275177E+00   0.149094E+04
   0.280736E+00   0.144391E+04
   0.286407E+00   0.139976E+04
   0.292193E+00   0.135989E+04
   0.298096E+00   0.132462E+04
   0.304118E+00   0.129357E+04
   0.310261E+00   0.126535E+04
   0.316529E+00   0.123811E+04
   0.322923E+00   0.121019E+04
   0.329447E+00   0.118075E+04
   0.336102E+00   0.115000E+04
   0.342892E+00   0.111896E+04
   0.349819E+00   0.108904E+04
   0.356885E+00   0.106109E+04
   0.364095E+00   0.103563E+04
   0.371450E+00   0.101243E+04
   0.378954E+00   0.990622E+03
   0.386609E+00   0.969152E+03
   0.394419E+00   0.947351E+03
   0.402387E+00   0.925202E+03
   0.410516E+00   0.903268E+03
   0.418809E+00   0.882203E+03
   0.427269E+00   0.862356E+03
   0.435901E+00   0.843799E+03
   0.444706E+00   0.826220E+03
   0.453690E+00   0.809070E+03
   0.462855E+00   0.792011E+03
   0.472206E+00   0.775070E+03
   0.481745E+00   0.758557E+03
   0.491477E+00   0.742763E+03
   0.501405E+00   0.727692E+03
   0.511534E+00   0.713219E+03
   0.521868E+00   0.699149E+03
   0.532411E+00   0.685307E+03
   0.543166E+00   0.671720E+03
   0.554139E+00   0.658535E+03
   0.565333E+00   0.645833E+03
   0.576753E+00   0.633555E+03
   0.588404E+00   0.621584E+03
   0.600291E+00   0.609880E+03
   0.612418E+00   0.598440E+03
   0.624789E+00   0.587292E+03
   0.637411E+00   0.576463E+03
   0.650288E+00   0.565918E+03
   0.663424E+00   0.555600E+03
   0.676826E+00   0.545495E+03
   0.690499E+00   0.535618E+03
   0.704448E+00   0.525969E+03
   0.718679E+00   0.516530E+03
   0.733197E+00   0.507282E+03
   0.748009E+00   0.498210E+03
   0.763119E+00   0.489312E+03
   0.778536E+00   0.480584E+03
   0.794263E+00   0.472011E+03
   0.810308E+00   0.463582E+03
   0.826677E+00   0.455292E+03
   0.843378E+00   0.447136E+03
   0.860415E+00   0.439108E+03
   0.877797E+00   0.431201E+03
   0.895529E+00   0.423405E+03
   0.913620E+00   0.415717E+03
   0.932076E+00   0.408132E+03
   0.950906E+00   0.400645E+03
   0.970115E+00   0.393249E+03
   0.989713E+00   0.385941E+03
   0.100971E+01   0.378718E+03
   0.103010E+01   0.371579E+03
   0.105091E+01   0.364518E+03
   0.107214E+01   0.357532E+03
   0.109380E+01   0.350618E+03
   0.111590E+01   0.343774E+03
   0.113844E+01   0.337000E+03
   0.116144E+01   0.330291E+03
   0.118490E+01   0.323649E+03
   0.120884E+01   0.317072E+03
   0.123326E+01   0.310561E+03
   0.125817E+01   0.304113E+03
   0.128359E+01   0.297728E+03
   0.130952E+01   0.291406E+03
   0.133597E+01   0.285147E+03
   0.136296E+01   0.278951E+03
   0.139049E+01   0.272819E+03
   0.141858E+01   0.266751E+03
   0.144724E+01   0.260748E+03
   0.147648E+01   0.254813E+03
   0.150630E+01   0.248945E+03
