#    L    TT             EE             TE          
   117   0.330256E+04   0.978135E+00  -0.339815E+02
   118   0.333770E+04   0.988149E+00  -0.345720E+02
   119   0.337295E+04   0.997789E+00  -0.351535E+02
   120   0.340831E+04   0.100705E+01  -0.357253E+02
   121   0.344376E+04   0.101591E+01  -0.362869E+02
   122   0.347929E+04   0.102437E+01  -0.368378E+02
   123   0.351490E+04   0.103242E+01  -0.373774E+02
   124   0.355058E+04   0.104004E+01  -0.379051E+02
   125   0.358633E+04   0.104724E+01  -0.384205E+02
   126   0.362213E+04   0.105400E+01  -0.389230E+02
   127   0.365798E+04   0.106032E+01  -0.394121E+02
   128   0.369386E+04   0.106618E+01  -0.398873E+02
   129   0.372978E+04   0.107159E+01  -0.403480E+02
   130   0.376572E+04   0.107654E+01  -0.407938E+02
   131   0.380167E+04   0.108101E+01  -0.412241E+02
   132   0.383763E+04   0.108502E+01  -0.416383E+02
   133   0.387359E+04   0.108854E+01  -0.420362E+02
   134   0.390954E+04   0.109160E+01  -0.424170E+02
   135   0.394546E+04   0.109417E+01  -0.427804E+02
   136   0.398137E+04   0.109626E+01  -0.431259E+02
   137   0.401724E+04   0.109786E+01  -0.434529E+02
   138   0.405307E+04   0.109898E+01  -0.437610E+02
   139   0.408884E+04   0.109961E+01  -0.440499E+02
   140   0.412456E+04   0.109975E+01  -0.443190E+02
   141   0.416021E+04   0.109943E+01  -0.445680E+02
   142   0.419578E+04   0.109861E+01  -0.447963E+02
   143   0.423128E+04   0.109732E+01  -0.450037E+02
   144   0.426667E+04   0.109556E+01  -0.451898E+02
   145   0.430197E+04   0.109332E+01  -0.453539E+02
   146   0.433713E+04   0.109062E+01  -0.454959E+02
   147   0.437216E+04   0.108746E+01  -0.456151E+02
   148   0.440704E+04   0.108385E+01  -0.457113E+02
   149   0.444175E+04   0.107980E+01  -0.457840E+02
   150   0.447629E+04   0.107530E+01  -0.458327E+02
   151   0.451062E+04   0.107038E+01  -0.458572E+02
   152   0.454476E+04   0.106503E+01  -0.458572E+02
   153   0.457868E+04   0.105927E+01  -0.458323E+02
   154   0.461240E+04   0.105313E+01  -0.457824E+02
   155   0.464589E+04   0.104659E+01  -0.457071E+02
   156   0.467918E+04   0.103969E+01  -0.456062E+02
   157   0.471223E+04   0.103242E+01  -0.454795E+02
   158   0.474505E+04   0.102481E+01  -0.453267E+02
   159   0.477762E+04   0.101687E+01  -0.451475E+02
   160   0.480994E+04   0.100861E+01  -0.449419E+02
   161   0.484199E+04   0.100006E+01  -0.447095E+02
   162   0.487376E+04   0.991221E+00  -0.444502E+02
   163   0.490523E+04   0.982134E+00  -0.441637E+02
   164   0.493639E+04   0.972796E+00  -0.438499E+02
   165   0.496723E+04   0.963229E+00  -0.435085E+02
   166   0.499774E+04   0.953458E+00  -0.431394E+02
   167   0.502792E+04   0.943505E+00  -0.427426E+02
   168   0.505774E+04   0.933393E+00  -0.423180E+02
   169   0.508721E+04   0.923145E+00  -0.418655E+02
   170   0.511632E+04   0.912777E+00  -0.413850E+02
   171   0.514505E+04   0.902318E+00  -0.408764E+02
   172   0.517341E+04   0.891792E+00  -0.403397E+02
   173   0.520137E+04   0.881222E+00  -0.397749E+02
   174   0.522893E+04   0.870630E+00  -0.391819E+02
   175   0.525608E+04   0.860055E+00  -0.385608E+02
   176   0.528282E+04   0.849513E+00  -0.379117E+02
   177   0.530913E+04   0.839040E+00  -0.372344E+02
   178   0.533500E+04   0.828662E+00  -0.365290E+02
   179   0.536042E+04   0.818400E+00  -0.357956E+02
   180   0.538540E+04   0.808293E+00  -0.350342E+02
   181   0.540991E+04   0.798372E+00  -0.342451E+02
   182   0.543396E+04   0.788667E+00  -0.334283E+02
   183   0.545754E+04   0.779202E+00  -0.325839E+02
   184   0.548063E+04   0.770016E+00  -0.317121E+02
   185   0.550323E+04   0.761145E+00  -0.308129E+02
   186   0.552533E+04   0.752614E+00  -0.298866E+02
   187   0.554693E+04   0.744454E+00  -0.289334E+02
   188   0.556803E+04   0.736705E+00  -0.279534E+02
   189   0.558859E+04   0.729402E+00  -0.269469E+02
   190   0.560864E+04   0.722577E+00  -0.259141E+02
   191   0.562815E+04   0.716266E+00  -0.248553E+02
   192   0.564712E+04   0.710502E+00  -0.237706E+02
   193   0.566553E+04   0.705321E+00  -0.226603E+02
   194   0.568340E+04   0.700760E+00  -0.215248E+02
   195   0.570071E+04   0.696855E+00  -0.203644E+02
   196   0.571745E+04   0.693643E+00  -0.191794E+02
   197   0.573364E+04   0.691163E+00  -0.179702E+02
   198   0.574926E+04   0.689449E+00  -0.167371E+02
   199   0.576430E+04   0.688540E+00  -0.154805E+02
   200   0.577877E+04   0.688473E+00  -0.142008E+02
   201   0.579266E+04   0.689285E+00  -0.128982E+02
   202   0.580596E+04   0.691015E+00  -0.115734E+02
   203   0.581864E+04   0.693701E+00  -0.102266E+02
   204   0.583072E+04   0.697382E+00  -0.885834E+01
   205   0.584215E+04   0.702096E+00  -0.746904E+01
   206   0.585296E+04   0.707880E+00  -0.605908E+01
   207   0.586313E+04   0.714775E+00  -0.462886E+01
   208   0.587264E+04   0.722819E+00  -0.317899E+01
   209   0.588152E+04   0.732049E+00  -0.171001E+01
   210   0.588977E+04   0.742505E+00  -0.222490E+00
   211   0.589739E+04   0.754225E+00   0.128302E+01
   212   0.590438E+04   0.767246E+00   0.280595E+01
   213   0.591076E+04   0.781608E+00   0.434575E+01
   214   0.591653E+04   0.797350E+00   0.590183E+01
   215   0.592169E+04   0.814504E+00   0.747361E+01
   216   0.592622E+04   0.833115E+00   0.906049E+01
   217   0.593013E+04   0.853217E+00   0.106618E+02
   218   0.593340E+04   0.874840E+00   0.122771E+02
   219   0.593605E+04   0.898030E+00   0.139057E+02
   220   0.593805E+04   0.922820E+00   0.155470E+02
   221   0.593941E+04   0.949240E+00   0.172003E+02
   222   0.594012E+04   0.977337E+00   0.188652E+02
   223   0.594019E+04   0.100713E+01   0.205407E+02
   224   0.593962E+04   0.103867E+01   0.222264E+02
   225   0.593842E+04   0.107197E+01   0.239215E+02
   226   0.593657E+04   0.110709E+01   0.256254E+02
   227   0.593408E+04   0.114404E+01   0.273374E+02
   228   0.593095E+04   0.118286E+01   0.290568E+02
   229   0.592719E+04   0.122358E+01   0.307829E+02
   230   0.592280E+04   0.126624E+01   0.325151E+02
   231   0.591776E+04   0.131086E+01   0.342525E+02
   232   0.591211E+04   0.135746E+01   0.359946E+02
   233   0.590582E+04   0.140609E+01   0.377405E+02
   234   0.589890E+04   0.145677E+01   0.394896E+02
   235   0.589136E+04   0.150952E+01   0.412412E+02
   236   0.588318E+04   0.156438E+01   0.429945E+02
   237   0.587439E+04   0.162137E+01   0.447487E+02
   238   0.586499E+04   0.168050E+01   0.465032E+02
   239   0.585497E+04   0.174180E+01   0.482572E+02
   240   0.584433E+04   0.180531E+01   0.500098E+02
   241   0.583308E+04   0.187104E+01   0.517606E+02
   242   0.582124E+04   0.193901E+01   0.535085E+02
   243   0.580879E+04   0.200925E+01   0.552528E+02
   244   0.579574E+04   0.208176E+01   0.569930E+02
   245   0.578211E+04   0.215658E+01   0.587281E+02
   246   0.576790E+04   0.223370E+01   0.604577E+02
   247   0.575310E+04   0.231317E+01   0.621808E+02
   248   0.573774E+04   0.239498E+01   0.638966E+02
   249   0.572180E+04   0.247916E+01   0.656046E+02
   250   0.570531E+04   0.256572E+01   0.673040E+02
   251   0.568825E+04   0.265465E+01   0.689938E+02
   252   0.567063E+04   0.274598E+01   0.706733E+02
   253   0.565246E+04   0.283971E+01   0.723417E+02
   254   0.563374E+04   0.293585E+01   0.739980E+02
   255   0.561446E+04   0.303440E+01   0.756416E+02
   256   0.559464E+04   0.313537E+01   0.772717E+02
   257   0.557428E+04   0.323876E+01   0.788875E+02
   258   0.555341E+04   0.334457E+01   0.804880E+02
   259   0.553201E+04   0.345281E+01   0.820737E+02
   260   0.551013E+04   0.356348E+01   0.836422E+02
   261   0.548776E+04   0.367657E+01   0.851943E+02
   262   0.546491E+04   0.379209E+01   0.867285E+02
   263   0.544161E+04   0.391003E+01   0.882447E+02
   264   0.541785E+04   0.403039E+01   0.897414E+02
   265   0.539363E+04   0.415316E+01   0.912194E+02
   266   0.536897E+04   0.427833E+01   0.926763E+02
   267   0.534388E+04   0.440588E+01   0.941114E+02
   268   0.531835E+04   0.453581E+01   0.955255E+02
   269   0.529239E+04   0.466811E+01   0.969162E+02
   270   0.526601E+04   0.480276E+01   0.982842E+02
   271   0.523922E+04   0.493975E+01   0.996273E+02
   272   0.521203E+04   0.507907E+01   0.100946E+03
   273   0.518445E+04   0.522068E+01   0.102239E+03
   274   0.515649E+04   0.536459E+01   0.103508E+03
   275   0.512815E+04   0.551076E+01   0.104749E+03
   276   0.509947E+04   0.565917E+01   0.105963E+03
   277   0.507043E+04   0.580982E+01   0.107150E+03
   278   0.504105E+04   0.596267E+01   0.108307E+03
   279   0.501134E+04   0.611769E+01   0.109436E+03
   280   0.498132E+04   0.627485E+01   0.110536E+03
   281   0.495098E+04   0.643413E+01   0.111606E+03
   282   0.492035E+04   0.659550E+01   0.112646E+03
   283   0.488943E+04   0.675893E+01   0.113654E+03
   284   0.485823E+04   0.692439E+01   0.114631E+03
   285   0.482676E+04   0.709185E+01   0.115575E+03
   286   0.479503E+04   0.726127E+01   0.116488E+03
   287   0.476306E+04   0.743260E+01   0.117367E+03
   288   0.473085E+04   0.760583E+01   0.118212E+03
   289   0.469840E+04   0.778090E+01   0.119025E+03
   290   0.466575E+04   0.795779E+01   0.119802E+03
   291   0.463290E+04   0.813647E+01   0.120545E+03
   292   0.459984E+04   0.831681E+01   0.121252E+03
   293   0.456660E+04   0.849888E+01   0.121924E+03
   294   0.453318E+04   0.868261E+01   0.122560E+03
   295   0.449959E+04   0.886785E+01   0.123159E+03
   296   0.446585E+04   0.905467E+01   0.123722E+03
   297   0.443194E+04   0.924294E+01   0.124246E+03
   298   0.439791E+04   0.943264E+01   0.124733E+03
   299   0.436374E+04   0.962371E+01   0.125182E+03
   300   0.432945E+04   0.981607E+01   0.125592E+03
   301   0.429506E+04   0.100098E+02   0.125964E+03
   302   0.426058E+04   0.102047E+02   0.126298E+03
   303   0.422601E+04   0.104007E+02   0.126593E+03
   304   0.419138E+04   0.105979E+02   0.126849E+03
   305   0.415669E+04   0.107962E+02   0.127066E+03
   306   0.412196E+04   0.109955E+02   0.127244E+03
   307   0.408719E+04   0.111957E+02   0.127383E+03
   308   0.405241E+04   0.113968E+02   0.127482E+03
   309   0.401761E+04   0.115988E+02   0.127542E+03
   310   0.398279E+04   0.118014E+02   0.127562E+03
   311   0.394800E+04   0.120047E+02   0.127541E+03
   312   0.391321E+04   0.122086E+02   0.127481E+03
   313   0.387846E+04   0.124131E+02   0.127381E+03
   314   0.384375E+04   0.126181E+02   0.127240E+03
   315   0.380908E+04   0.128234E+02   0.127060E+03
   316   0.377447E+04   0.130291E+02   0.126838E+03
   317   0.373994E+04   0.132350E+02   0.126578E+03
   318   0.370549E+04   0.134411E+02   0.126277E+03
   319   0.367113E+04   0.136473E+02   0.125935E+03
   320   0.363686E+04   0.138537E+02   0.125554E+03
   321   0.360272E+04   0.140600E+02   0.125133E+03
   322   0.356869E+04   0.142661E+02   0.124672E+03
   323   0.353481E+04   0.144721E+02   0.124171E+03
   324   0.350105E+04   0.146778E+02   0.123631E+03
   325   0.346745E+04   0.148833E+02   0.123051E+03
   326   0.343401E+04   0.150884E+02   0.122432E+03
   327   0.340075E+04   0.152929E+02   0.121774E+03
   328   0.336766E+04   0.154969E+02   0.121076E+03
   329   0.333476E+04   0.157004E+02   0.120341E+03
   330   0.330206E+04   0.159030E+02   0.119566E+03
   331   0.326957E+04   0.161050E+02   0.118753E+03
   332   0.323729E+04   0.163061E+02   0.117902E+03
   333   0.320524E+04   0.165062E+02   0.117014E+03
   334   0.317342E+04   0.167054E+02   0.116088E+03
   335   0.314185E+04   0.169034E+02   0.115124E+03
   336   0.311053E+04   0.171004E+02   0.114124E+03
   337   0.307946E+04   0.172961E+02   0.113088E+03
   338   0.304867E+04   0.174905E+02   0.112016E+03
   339   0.301815E+04   0.176835E+02   0.110909E+03
   340   0.298792E+04   0.178752E+02   0.109767E+03
   341   0.295799E+04   0.180653E+02   0.108590E+03
   342   0.292835E+04   0.182538E+02   0.107379E+03
   343   0.289901E+04   0.184407E+02   0.106133E+03
   344   0.286998E+04   0.186257E+02   0.104854E+03
   345   0.284127E+04   0.188089E+02   0.103540E+03
   346   0.281287E+04   0.189901E+02   0.102194E+03
   347   0.278480E+04   0.191693E+02   0.100814E+03
   348   0.275705E+04   0.193463E+02   0.994014E+02
   349   0.272965E+04   0.195212E+02   0.979582E+02
   350   0.270260E+04   0.196939E+02   0.964836E+02
   351   0.267591E+04   0.198644E+02   0.949790E+02
