#    L    TT             EE             TE             PP             TP          
     2   0.101054E+04   0.304922E-01   0.256766E+01   0.102333E+07   0.280463E+05
     3   0.955786E+03   0.390965E-01   0.288251E+01   0.157376E+07   0.333923E+05
     4   0.904292E+03   0.339031E-01   0.270722E+01   0.206345E+07   0.358726E+05
     5   0.865973E+03   0.226354E-01   0.230726E+01   0.249599E+07   0.368211E+05
     6   0.839747E+03   0.126617E-01   0.185959E+01   0.287771E+07   0.369142E+05
     7   0.823002E+03   0.683920E-02   0.146092E+01   0.321614E+07   0.365272E+05
     8   0.813146E+03   0.440731E-02   0.115398E+01   0.351744E+07   0.358748E+05
     9   0.808680E+03   0.353341E-02   0.948143E+00   0.378695E+07   0.350865E+05
    10   0.808017E+03   0.300956E-02   0.833947E+00   0.402827E+07   0.342320E+05
    11   0.810416E+03   0.252772E-02   0.791906E+00   0.424587E+07   0.333601E+05
    12   0.815021E+03   0.220118E-02   0.800266E+00   0.444071E+07   0.324779E+05
    13   0.821549E+03   0.211024E-02   0.839303E+00   0.461746E+07   0.316041E+05
    14   0.829356E+03   0.219659E-02   0.893784E+00   0.477623E+07   0.307317E+05
    15   0.838426E+03   0.237416E-02   0.954084E+00   0.492042E+07   0.298681E+05
    16   0.848498E+03   0.262559E-02   0.101575E+01   0.505056E+07   0.290174E+05
    17   0.859376E+03   0.298905E-02   0.107651E+01   0.516808E+07   0.281857E+05
    18   0.870598E+03   0.350391E-02   0.113729E+01   0.527465E+07   0.273799E+05
    19   0.883297E+03   0.417974E-02   0.120381E+01   0.537094E+07   0.266050E+05
    20   0.896074E+03   0.499971E-02   0.127260E+01   0.545746E+07   0.258646E+05
    21   0.909494E+03   0.595149E-02   0.134561E+01   0.553530E+07   0.251579E+05
    22   0.923402E+03   0.704034E-02   0.142047E+01   0.560552E+07   0.244825E+05
    23   0.937378E+03   0.826532E-02   0.149576E+01   0.566856E+07   0.238350E+05
    24   0.951752E+03   0.962937E-02   0.156977E+01   0.572481E+07   0.232118E+05
    25   0.966701E+03   0.111266E-01   0.163453E+01   0.577486E+07   0.226097E+05
    26   0.981763E+03   0.127602E-01   0.169310E+01   0.581933E+07   0.220265E+05
    27   0.997283E+03   0.145546E-01   0.174602E+01   0.585857E+07   0.214623E+05
    28   0.101303E+04   0.165171E-01   0.178856E+01   0.589288E+07   0.209180E+05
    29   0.102899E+04   0.186633E-01   0.182676E+01   0.592264E+07   0.203941E+05
    30   0.104542E+04   0.210084E-01   0.185457E+01   0.594824E+07   0.198912E+05
    31   0.106166E+04   0.235502E-01   0.188101E+01   0.596997E+07   0.194091E+05
    32   0.107845E+04   0.263116E-01   0.189955E+01   0.598806E+07   0.189476E+05
    33   0.109525E+04   0.292675E-01   0.191074E+01   0.600280E+07   0.185050E+05
    34   0.111208E+04   0.324530E-01   0.191780E+01   0.601443E+07   0.180794E+05
    35   0.112965E+04   0.358540E-01   0.191049E+01   0.602313E+07   0.176685E+05
    36   0.114713E+04   0.394760E-01   0.189740E+01   0.602907E+07   0.172702E+05
    37   0.116488E+04   0.433421E-01   0.187189E+01   0.603247E+07   0.168841E+05
    38   0.118281E+04   0.474457E-01   0.183561E+01   0.603350E+07   0.165102E+05
    39   0.120088E+04   0.517915E-01   0.178906E+01   0.603233E+07   0.161487E+05
    40   0.121913E+04   0.563895E-01   0.173141E+01   0.602909E+07   0.157998E+05
    41   0.123755E+04   0.612493E-01   0.166221E+01   0.602393E+07   0.154638E+05
    42   0.125615E+04   0.663777E-01   0.158243E+01   0.601695E+07   0.151399E+05
    43   0.127492E+04   0.717805E-01   0.149299E+01   0.600828E+07   0.148272E+05
    44   0.129388E+04   0.774615E-01   0.139319E+01   0.599804E+07   0.145251E+05
    45   0.131307E+04   0.834214E-01   0.128206E+01   0.598632E+07   0.142326E+05
    46   0.133243E+04   0.896595E-01   0.115905E+01   0.597325E+07   0.139491E+05
    47   0.135196E+04   0.961796E-01   0.102363E+01   0.595890E+07   0.136742E+05
    48   0.137163E+04   0.102980E+00   0.875239E+00   0.594335E+07   0.134077E+05
    49   0.139145E+04   0.110057E+00   0.713394E+00   0.592667E+07   0.131494E+05
    50   0.141148E+04   0.117420E+00   0.537746E+00   0.590895E+07   0.128990E+05
    51   0.143180E+04   0.125078E+00   0.348249E+00   0.589026E+07   0.126564E+05
    52   0.145233E+04   0.133032E+00   0.145870E+00   0.587066E+07   0.124213E+05
    53   0.147300E+04   0.141281E+00  -0.683850E-01   0.585021E+07   0.121932E+05
    54   0.149378E+04   0.149824E+00  -0.294368E+00   0.582897E+07   0.119720E+05
    55   0.151464E+04   0.158660E+00  -0.532300E+00   0.580701E+07   0.117573E+05
    56   0.153569E+04   0.167786E+00  -0.783068E+00   0.578439E+07   0.115488E+05
    57   0.155703E+04   0.177198E+00  -0.104765E+01   0.576114E+07   0.113463E+05
    58   0.157865E+04   0.186897E+00  -0.132637E+01   0.573732E+07   0.111495E+05
    59   0.160047E+04   0.196885E+00  -0.161926E+01   0.571295E+07   0.109582E+05
    60   0.162249E+04   0.207156E+00  -0.192594E+01   0.568808E+07   0.107721E+05
    61   0.164471E+04   0.217704E+00  -0.224599E+01   0.566274E+07   0.105912E+05
    62   0.166714E+04   0.228527E+00  -0.257922E+01   0.563698E+07   0.104151E+05
    63   0.168978E+04   0.239621E+00  -0.292548E+01   0.561082E+07   0.102439E+05
    64   0.171261E+04   0.250984E+00  -0.328464E+01   0.558431E+07   0.100772E+05
    65   0.173565E+04   0.262614E+00  -0.365660E+01   0.555748E+07   0.991512E+04
    66   0.175892E+04   0.274503E+00  -0.404143E+01   0.553035E+07   0.975739E+04
    67   0.178241E+04   0.286645E+00  -0.443886E+01   0.550296E+07   0.960384E+04
    68   0.180612E+04   0.299029E+00  -0.484855E+01   0.547532E+07   0.945429E+04
    69   0.183001E+04   0.311647E+00  -0.527017E+01   0.544746E+07   0.930853E+04
    70   0.185409E+04   0.324492E+00  -0.570360E+01   0.541941E+07   0.916637E+04
    71   0.187834E+04   0.337560E+00  -0.614891E+01   0.539118E+07   0.902763E+04
    72   0.190285E+04   0.350846E+00  -0.660668E+01   0.536280E+07   0.889225E+04
    73   0.192770E+04   0.364346E+00  -0.707744E+01   0.533429E+07   0.876016E+04
    74   0.195288E+04   0.378049E+00  -0.756062E+01   0.530565E+07   0.863130E+04
    75   0.197835E+04   0.391942E+00  -0.805534E+01   0.527692E+07   0.850563E+04
    76   0.200405E+04   0.406013E+00  -0.856076E+01   0.524812E+07   0.838307E+04
    77   0.202987E+04   0.420251E+00  -0.907564E+01   0.521925E+07   0.826351E+04
    78   0.205581E+04   0.434648E+00  -0.959989E+01   0.519033E+07   0.814681E+04
    79   0.208195E+04   0.449192E+00  -0.101337E+02   0.516138E+07   0.803286E+04
    80   0.210832E+04   0.463875E+00  -0.106775E+02   0.513240E+07   0.792151E+04
    81   0.213498E+04   0.478686E+00  -0.112312E+02   0.510342E+07   0.781264E+04
    82   0.216194E+04   0.493614E+00  -0.117945E+02   0.507444E+07   0.770621E+04
    83   0.218915E+04   0.508646E+00  -0.123669E+02   0.504547E+07   0.760215E+04
    84   0.221663E+04   0.523768E+00  -0.129479E+02   0.501652E+07   0.750041E+04
    85   0.224435E+04   0.538967E+00  -0.135370E+02   0.498761E+07   0.740094E+04
    86   0.227230E+04   0.554231E+00  -0.141336E+02   0.495874E+07   0.730368E+04
    87   0.230046E+04   0.569549E+00  -0.147373E+02   0.492992E+07   0.720856E+04
    88   0.232881E+04   0.584909E+00  -0.153475E+02   0.490117E+07   0.711550E+04
    89   0.235735E+04   0.600297E+00  -0.159639E+02   0.487248E+07   0.702442E+04
    90   0.238611E+04   0.615699E+00  -0.165860E+02   0.484388E+07   0.693523E+04
    91   0.241508E+04   0.631101E+00  -0.172135E+02   0.481537E+07   0.684787E+04
    92   0.244427E+04   0.646488E+00  -0.178462E+02   0.478696E+07   0.676228E+04
    93   0.247369E+04   0.661847E+00  -0.184833E+02   0.475865E+07   0.667843E+04
    94   0.250334E+04   0.677165E+00  -0.191249E+02   0.473044E+07   0.659628E+04
    95   0.253322E+04   0.692425E+00  -0.197703E+02   0.470233E+07   0.651579E+04
    96   0.256334E+04   0.707616E+00  -0.204191E+02   0.467434E+07   0.643693E+04
    97   0.259368E+04   0.722720E+00  -0.210708E+02   0.464647E+07   0.635964E+04
    98   0.262426E+04   0.737724E+00  -0.217251E+02   0.461871E+07   0.628390E+04
    99   0.265505E+04   0.752614E+00  -0.223813E+02   0.459107E+07   0.620966E+04
   100   0.268607E+04   0.767377E+00  -0.230390E+02   0.456356E+07   0.613688E+04
   101   0.271730E+04   0.781999E+00  -0.236976E+02   0.453617E+07   0.606553E+04
   102   0.274876E+04   0.796458E+00  -0.243568E+02   0.450892E+07   0.599557E+04
   103   0.278041E+04   0.810754E+00  -0.250159E+02   0.448181E+07   0.592695E+04
   104   0.281227E+04   0.824858E+00  -0.256743E+02   0.445484E+07   0.585964E+04
   105   0.284431E+04   0.838762E+00  -0.263317E+02   0.442801E+07   0.579360E+04
   106   0.287654E+04   0.852452E+00  -0.269872E+02   0.440132E+07   0.572880E+04
   107   0.290895E+04   0.865920E+00  -0.276404E+02   0.437479E+07   0.566518E+04
   108   0.294152E+04   0.879145E+00  -0.282908E+02   0.434842E+07   0.560271E+04
   109   0.297425E+04   0.892119E+00  -0.289376E+02   0.432220E+07   0.554136E+04
   110   0.300714E+04   0.904819E+00  -0.295805E+02   0.429614E+07   0.548108E+04
   111   0.304017E+04   0.917240E+00  -0.302188E+02   0.427025E+07   0.542184E+04
   112   0.307334E+04   0.929373E+00  -0.308519E+02   0.424453E+07   0.536362E+04
   113   0.310665E+04   0.941196E+00  -0.314793E+02   0.421897E+07   0.530638E+04
   114   0.314008E+04   0.952695E+00  -0.321005E+02   0.419358E+07   0.525013E+04
   115   0.317364E+04   0.963869E+00  -0.327149E+02   0.416836E+07   0.519482E+04
   116   0.320732E+04   0.974704E+00  -0.333219E+02   0.414330E+07   0.514045E+04
   117   0.324111E+04   0.985177E+00  -0.339211E+02   0.411841E+07   0.508699E+04
   118   0.327500E+04   0.995288E+00  -0.345117E+02   0.409369E+07   0.503443E+04
   119   0.330899E+04   0.100502E+01  -0.350934E+02   0.406914E+07   0.498273E+04
   120   0.334307E+04   0.101437E+01  -0.356656E+02   0.404475E+07   0.493189E+04
   121   0.337724E+04   0.102333E+01  -0.362277E+02   0.402053E+07   0.488188E+04
   122   0.341147E+04   0.103187E+01  -0.367792E+02   0.399649E+07   0.483268E+04
   123   0.344578E+04   0.104000E+01  -0.373195E+02   0.397261E+07   0.478427E+04
   124   0.348015E+04   0.104771E+01  -0.378481E+02   0.394890E+07   0.473664E+04
   125   0.351456E+04   0.105499E+01  -0.383645E+02   0.392536E+07   0.468975E+04
   126   0.354903E+04   0.106182E+01  -0.388682E+02   0.390199E+07   0.464359E+04
   127   0.358353E+04   0.106821E+01  -0.393585E+02   0.387879E+07   0.459815E+04
   128   0.361805E+04   0.107414E+01  -0.398352E+02   0.385576E+07   0.455339E+04
   129   0.365260E+04   0.107962E+01  -0.402976E+02   0.383291E+07   0.450930E+04
   130   0.368716E+04   0.108462E+01  -0.407451E+02   0.381022E+07   0.446586E+04
   131   0.372172E+04   0.108915E+01  -0.411773E+02   0.378770E+07   0.442305E+04
   132   0.375628E+04   0.109320E+01  -0.415938E+02   0.376536E+07   0.438086E+04
   133   0.379083E+04   0.109677E+01  -0.419940E+02   0.374319E+07   0.433927E+04
   134   0.382536E+04   0.109987E+01  -0.423773E+02   0.372118E+07   0.429828E+04
   135   0.385986E+04   0.110247E+01  -0.427436E+02   0.369934E+07   0.425787E+04
   136   0.389432E+04   0.110459E+01  -0.430920E+02   0.367767E+07   0.421803E+04
   137   0.392875E+04   0.110621E+01  -0.434222E+02   0.365617E+07   0.417875E+04
   138   0.396312E+04   0.110735E+01  -0.437338E+02   0.363483E+07   0.414002E+04
   139   0.399742E+04   0.110799E+01  -0.440263E+02   0.361366E+07   0.410183E+04
   140   0.403167E+04   0.110813E+01  -0.442994E+02   0.359265E+07   0.406416E+04
   141   0.406583E+04   0.110780E+01  -0.445526E+02   0.357181E+07   0.402702E+04
   142   0.409991E+04   0.110698E+01  -0.447855E+02   0.355113E+07   0.399037E+04
   143   0.413390E+04   0.110567E+01  -0.449977E+02   0.353061E+07   0.395422E+04
   144   0.416779E+04   0.110388E+01  -0.451888E+02   0.351026E+07   0.391854E+04
   145   0.420157E+04   0.110160E+01  -0.453583E+02   0.349006E+07   0.388334E+04
   146   0.423521E+04   0.109886E+01  -0.455059E+02   0.347003E+07   0.384860E+04
   147   0.426870E+04   0.109565E+01  -0.456312E+02   0.345015E+07   0.381430E+04
   148   0.430204E+04   0.109198E+01  -0.457337E+02   0.343043E+07   0.378044E+04
   149   0.433520E+04   0.108785E+01  -0.458131E+02   0.341087E+07   0.374700E+04
   150   0.436818E+04   0.108328E+01  -0.458688E+02   0.339147E+07   0.371398E+04
   151   0.440095E+04   0.107826E+01  -0.459007E+02   0.337222E+07   0.368136E+04
   152   0.443352E+04   0.107281E+01  -0.459084E+02   0.335313E+07   0.364913E+04
   153   0.446587E+04   0.106694E+01  -0.458916E+02   0.333419E+07   0.361730E+04
   154   0.449800E+04   0.106067E+01  -0.458502E+02   0.331541E+07   0.358585E+04
   155   0.452991E+04   0.105400E+01  -0.457838E+02   0.329677E+07   0.355477E+04
   156   0.456160E+04   0.104695E+01  -0.456922E+02   0.327829E+07   0.352407E+04
   157   0.459304E+04   0.103951E+01  -0.455752E+02   0.325996E+07   0.349373E+04
   158   0.462426E+04   0.103173E+01  -0.454324E+02   0.324178E+07   0.346375E+04
   159   0.465522E+04   0.102359E+01  -0.452638E+02   0.322374E+07   0.343412E+04
   160   0.468593E+04   0.101513E+01  -0.450691E+02   0.320585E+07   0.340484E+04
   161   0.471636E+04   0.100635E+01  -0.448481E+02   0.318811E+07   0.337590E+04
   162   0.474650E+04   0.997269E+00  -0.446007E+02   0.317051E+07   0.334729E+04
   163   0.477634E+04   0.987922E+00  -0.443264E+02   0.315305E+07   0.331902E+04
   164   0.480587E+04   0.978307E+00  -0.440254E+02   0.313573E+07   0.329106E+04
   165   0.483508E+04   0.968444E+00  -0.436972E+02   0.311856E+07   0.326342E+04
   166   0.486395E+04   0.958357E+00  -0.433419E+02   0.310153E+07   0.323609E+04
   167   0.489249E+04   0.948068E+00  -0.429593E+02   0.308463E+07   0.320906E+04
   168   0.492067E+04   0.937599E+00  -0.425494E+02   0.306788E+07   0.318233E+04
   169   0.494849E+04   0.926973E+00  -0.421121E+02   0.305126E+07   0.315589E+04
   170   0.497595E+04   0.916204E+00  -0.416473E+02   0.303477E+07   0.312974E+04
   171   0.500303E+04   0.905322E+00  -0.411550E+02   0.301842E+07   0.310386E+04
   172   0.502974E+04   0.894350E+00  -0.406351E+02   0.300221E+07   0.307826E+04
   173   0.505605E+04   0.883309E+00  -0.400876E+02   0.298612E+07   0.305292E+04
   174   0.508196E+04   0.872223E+00  -0.395125E+02   0.297017E+07   0.302784E+04
   175   0.510746E+04   0.861128E+00  -0.389098E+02   0.295435E+07   0.300302E+04
   176   0.513254E+04   0.850040E+00  -0.382797E+02   0.293866E+07   0.297845E+04
   177   0.515720E+04   0.838995E+00  -0.376219E+02   0.292309E+07   0.295412E+04
   178   0.518141E+04   0.828015E+00  -0.369367E+02   0.290766E+07   0.293003E+04
   179   0.520518E+04   0.817123E+00  -0.362241E+02   0.289235E+07   0.290618E+04
   180   0.522851E+04   0.806357E+00  -0.354841E+02   0.287716E+07   0.288257E+04
   181   0.525137E+04   0.795745E+00  -0.347169E+02   0.286210E+07   0.285918E+04
   182   0.527377E+04   0.785319E+00  -0.339226E+02   0.284715E+07   0.283602E+04
   183   0.529570E+04   0.775098E+00  -0.331014E+02   0.283233E+07   0.281308E+04
   184   0.531715E+04   0.765122E+00  -0.322534E+02   0.281763E+07   0.279037E+04
   185   0.533811E+04   0.755428E+00  -0.313787E+02   0.280305E+07   0.276786E+04
   186   0.535857E+04   0.746036E+00  -0.304775E+02   0.278859E+07   0.274558E+04
   187   0.537854E+04   0.736979E+00  -0.295500E+02   0.277424E+07   0.272350E+04
   188   0.539800E+04   0.728295E+00  -0.285965E+02   0.276001E+07   0.270162E+04
   189   0.541694E+04   0.720017E+00  -0.276171E+02   0.274590E+07   0.267995E+04
   190   0.543537E+04   0.712179E+00  -0.266120E+02   0.273189E+07   0.265848E+04
   191   0.545326E+04   0.704812E+00  -0.255817E+02   0.271800E+07   0.263720E+04
   192   0.547062E+04   0.697951E+00  -0.245262E+02   0.270422E+07   0.261611E+04
   193   0.548743E+04   0.691630E+00  -0.234457E+02   0.269055E+07   0.259521E+04
   194   0.550370E+04   0.685884E+00  -0.223408E+02   0.267699E+07   0.257449E+04
   195   0.551941E+04   0.680750E+00  -0.212116E+02   0.266353E+07   0.255395E+04
   196   0.553457E+04   0.676262E+00  -0.200586E+02   0.265018E+07   0.253360E+04
   197   0.554917E+04   0.672459E+00  -0.188821E+02   0.263694E+07   0.251341E+04
   198   0.556323E+04   0.669375E+00  -0.176825E+02   0.262380E+07   0.249339E+04
   199   0.557670E+04   0.667046E+00  -0.164601E+02   0.261076E+07   0.247354E+04
   200   0.558962E+04   0.665508E+00  -0.152154E+02   0.259783E+07   0.245386E+04
   201   0.560196E+04   0.664799E+00  -0.139486E+02   0.258499E+07   0.243433E+04
   202   0.561372E+04   0.664955E+00  -0.126603E+02   0.257226E+07   0.241496E+04
   203   0.562487E+04   0.666012E+00  -0.113507E+02   0.255962E+07   0.239575E+04
   204   0.563542E+04   0.668007E+00  -0.100204E+02   0.254709E+07   0.237669E+04
   205   0.564535E+04   0.670977E+00  -0.866984E+01   0.253465E+07   0.235778E+04
   206   0.565466E+04   0.674958E+00  -0.729931E+01   0.252230E+07   0.233903E+04
   207   0.566333E+04   0.679987E+00  -0.590922E+01   0.251005E+07   0.232043E+04
   208   0.567137E+04   0.686101E+00  -0.450018E+01   0.249790E+07   0.230197E+04
   209   0.567878E+04   0.693336E+00  -0.307272E+01   0.248584E+07   0.228367E+04
   210   0.568558E+04   0.701729E+00  -0.162740E+01   0.247388E+07   0.226551E+04
   211   0.569175E+04   0.711318E+00  -0.164750E+00   0.246200E+07   0.224750E+04
   212   0.569731E+04   0.722137E+00   0.131465E+01   0.245022E+07   0.222963E+04
   213   0.570227E+04   0.734224E+00   0.281027E+01   0.243853E+07   0.221190E+04
   214   0.570664E+04   0.747616E+00   0.432153E+01   0.242693E+07   0.219431E+04
   215   0.571040E+04   0.762344E+00   0.584786E+01   0.241542E+07   0.217686E+04
   216   0.571355E+04   0.778452E+00   0.738867E+01   0.240400E+07   0.215955E+04
   217   0.571609E+04   0.795970E+00   0.894333E+01   0.239266E+07   0.214238E+04
   218   0.571801E+04   0.814927E+00   0.105114E+02   0.238141E+07   0.212534E+04
   219   0.571932E+04   0.835369E+00   0.120920E+02   0.237025E+07   0.210844E+04
   220   0.572000E+04   0.857325E+00   0.136849E+02   0.235918E+07   0.209167E+04
   221   0.572005E+04   0.880824E+00   0.152892E+02   0.234818E+07   0.207503E+04
   222   0.571947E+04   0.905911E+00   0.169044E+02   0.233727E+07   0.205852E+04
   223   0.571826E+04   0.932609E+00   0.185298E+02   0.232645E+07   0.204213E+04
   224   0.571643E+04   0.960954E+00   0.201648E+02   0.231570E+07   0.202588E+04
   225   0.571398E+04   0.990969E+00   0.218086E+02   0.230504E+07   0.200975E+04
   226   0.571090E+04   0.102270E+01   0.234608E+02   0.229446E+07   0.199374E+04
   227   0.570720E+04   0.105617E+01   0.251205E+02   0.228395E+07   0.197786E+04
   228   0.570288E+04   0.109141E+01   0.267871E+02   0.227353E+07   0.196209E+04
   229   0.569795E+04   0.112845E+01   0.284599E+02   0.226318E+07   0.194645E+04
   230   0.569239E+04   0.116733E+01   0.301383E+02   0.225291E+07   0.193092E+04
   231   0.568622E+04   0.120805E+01   0.318215E+02   0.224272E+07   0.191552E+04
   232   0.567944E+04   0.125066E+01   0.335089E+02   0.223260E+07   0.190022E+04
   233   0.567205E+04   0.129518E+01   0.351997E+02   0.222256E+07   0.188504E+04
   234   0.566405E+04   0.134164E+01   0.368931E+02   0.221259E+07   0.186998E+04
   235   0.565544E+04   0.139007E+01   0.385886E+02   0.220270E+07   0.185502E+04
   236   0.564622E+04   0.144049E+01   0.402854E+02   0.219287E+07   0.184018E+04
   237   0.563641E+04   0.149292E+01   0.419827E+02   0.218312E+07   0.182544E+04
   238   0.562600E+04   0.154738E+01   0.436799E+02   0.217344E+07   0.181081E+04
   239   0.561500E+04   0.160388E+01   0.453761E+02   0.216383E+07   0.179629E+04
   240   0.560341E+04   0.166248E+01   0.470706E+02   0.215429E+07   0.178187E+04
   241   0.559122E+04   0.172317E+01   0.487628E+02   0.214481E+07   0.176755E+04
   242   0.557846E+04   0.178598E+01   0.504519E+02   0.213540E+07   0.175334E+04
   243   0.556512E+04   0.185092E+01   0.521370E+02   0.212606E+07   0.173922E+04
   244   0.555120E+04   0.191802E+01   0.538175E+02   0.211679E+07   0.172520E+04
   245   0.553671E+04   0.198729E+01   0.554928E+02   0.210758E+07   0.171128E+04
   246   0.552168E+04   0.205874E+01   0.571620E+02   0.209844E+07   0.169746E+04
   247   0.550608E+04   0.213239E+01   0.588245E+02   0.208935E+07   0.168373E+04
   248   0.548994E+04   0.220825E+01   0.604794E+02   0.208034E+07   0.167009E+04
   249   0.547325E+04   0.228634E+01   0.621262E+02   0.207138E+07   0.165655E+04
   250   0.545602E+04   0.236667E+01   0.637640E+02   0.206248E+07   0.164309E+04
   251   0.543826E+04   0.244924E+01   0.653920E+02   0.205365E+07   0.162972E+04
   252   0.541996E+04   0.253407E+01   0.670095E+02   0.204487E+07   0.161644E+04
   253   0.540113E+04   0.262115E+01   0.686156E+02   0.203615E+07   0.160325E+04
   254   0.538178E+04   0.271050E+01   0.702095E+02   0.202749E+07   0.159015E+04
   255   0.536190E+04   0.280211E+01   0.717904E+02   0.201889E+07   0.157713E+04
   256   0.534150E+04   0.289600E+01   0.733577E+02   0.201035E+07   0.156420E+04
   257   0.532059E+04   0.299216E+01   0.749107E+02   0.200187E+07   0.155136E+04
   258   0.529918E+04   0.309060E+01   0.764483E+02   0.199344E+07   0.153860E+04
   259   0.527728E+04   0.319132E+01   0.779710E+02   0.198507E+07   0.152593E+04
   260   0.525492E+04   0.329431E+01   0.794766E+02   0.197675E+07   0.151334E+04
   261   0.523209E+04   0.339959E+01   0.809658E+02   0.196849E+07   0.150084E+04
   262   0.520881E+04   0.350713E+01   0.824372E+02   0.196029E+07   0.148841E+04
   263   0.518510E+04   0.361696E+01   0.838907E+02   0.195214E+07   0.147608E+04
   264   0.516096E+04   0.372905E+01   0.853248E+02   0.194404E+07   0.146382E+04
   265   0.513638E+04   0.384340E+01   0.867404E+02   0.193600E+07   0.145165E+04
   266   0.511139E+04   0.395999E+01   0.881351E+02   0.192801E+07   0.143956E+04
   267   0.508599E+04   0.407881E+01   0.895082E+02   0.192008E+07   0.142755E+04
   268   0.506018E+04   0.419986E+01   0.908605E+02   0.191219E+07   0.141562E+04
   269   0.503396E+04   0.432312E+01   0.921898E+02   0.190436E+07   0.140377E+04
   270   0.500734E+04   0.444857E+01   0.934967E+02   0.189658E+07   0.139201E+04
   271   0.498035E+04   0.457621E+01   0.947791E+02   0.188885E+07   0.138032E+04
   272   0.495297E+04   0.470602E+01   0.960378E+02   0.188117E+07   0.136871E+04
   273   0.492524E+04   0.483796E+01   0.972711E+02   0.187354E+07   0.135718E+04
   274   0.489714E+04   0.497204E+01   0.984799E+02   0.186596E+07   0.134573E+04
   275   0.486869E+04   0.510822E+01   0.996619E+02   0.185843E+07   0.133435E+04
   276   0.483992E+04   0.524649E+01   0.100818E+03   0.185095E+07   0.132306E+04
   277   0.481082E+04   0.538682E+01   0.101946E+03   0.184351E+07   0.131184E+04
   278   0.478140E+04   0.552920E+01   0.103047E+03   0.183613E+07   0.130070E+04
   279   0.475168E+04   0.567358E+01   0.104119E+03   0.182879E+07   0.128963E+04
   280   0.472168E+04   0.581993E+01   0.105163E+03   0.182150E+07   0.127864E+04
   281   0.469138E+04   0.596825E+01   0.106178E+03   0.181425E+07   0.126772E+04
   282   0.466081E+04   0.611849E+01   0.107163E+03   0.180705E+07   0.125688E+04
   283   0.462998E+04   0.627062E+01   0.108118E+03   0.179990E+07   0.124611E+04
   284   0.459889E+04   0.642461E+01   0.109041E+03   0.179279E+07   0.123542E+04
   285   0.456755E+04   0.658043E+01   0.109933E+03   0.178572E+07   0.122480E+04
   286   0.453598E+04   0.673804E+01   0.110794E+03   0.177870E+07   0.121425E+04
   287   0.450419E+04   0.689740E+01   0.111623E+03   0.177172E+07   0.120377E+04
   288   0.447219E+04   0.705848E+01   0.112419E+03   0.176479E+07   0.119337E+04
   289   0.443999E+04   0.722124E+01   0.113182E+03   0.175790E+07   0.118304E+04
   290   0.440759E+04   0.738564E+01   0.113912E+03   0.175105E+07   0.117278E+04
   291   0.437502E+04   0.755166E+01   0.114608E+03   0.174424E+07   0.116259E+04
   292   0.434228E+04   0.771916E+01   0.115270E+03   0.173747E+07   0.115247E+04
   293   0.430937E+04   0.788821E+01   0.115898E+03   0.173074E+07   0.114242E+04
   294   0.427631E+04   0.805875E+01   0.116490E+03   0.172406E+07   0.113243E+04
   295   0.424310E+04   0.823063E+01   0.117047E+03   0.171741E+07   0.112252E+04
   296   0.420976E+04   0.840391E+01   0.117568E+03   0.171080E+07   0.111268E+04
   297   0.417629E+04   0.857846E+01   0.118053E+03   0.170424E+07   0.110290E+04
   298   0.414271E+04   0.875426E+01   0.118501E+03   0.169771E+07   0.109319E+04
   299   0.410902E+04   0.893125E+01   0.118912E+03   0.169122E+07   0.108355E+04
   300   0.407524E+04   0.910935E+01   0.119287E+03   0.168476E+07   0.107397E+04
   301   0.404138E+04   0.928863E+01   0.119624E+03   0.167834E+07   0.106446E+04
   302   0.400745E+04   0.946888E+01   0.119924E+03   0.167196E+07   0.105502E+04
   303   0.397346E+04   0.965016E+01   0.120187E+03   0.166562E+07   0.104564E+04
   304   0.393943E+04   0.983241E+01   0.120413E+03   0.165931E+07   0.103633E+04
   305   0.390536E+04   0.100155E+02   0.120601E+03   0.165304E+07   0.102708E+04
   306   0.387127E+04   0.101996E+02   0.120751E+03   0.164681E+07   0.101790E+04
   307   0.383717E+04   0.103843E+02   0.120864E+03   0.164061E+07   0.100878E+04
   308   0.380308E+04   0.105698E+02   0.120938E+03   0.163444E+07   0.999723E+03
   309   0.376899E+04   0.107560E+02   0.120975E+03   0.162831E+07   0.990733E+03
   310   0.373490E+04   0.109427E+02   0.120973E+03   0.162222E+07   0.981806E+03
   311   0.370086E+04   0.111299E+02   0.120933E+03   0.161616E+07   0.972942E+03
   312   0.366684E+04   0.113177E+02   0.120854E+03   0.161013E+07   0.964142E+03
   313   0.363288E+04   0.115058E+02   0.120737E+03   0.160414E+07   0.955404E+03
   314   0.359898E+04   0.116943E+02   0.120581E+03   0.159818E+07   0.946729E+03
   315   0.356513E+04   0.118829E+02   0.120387E+03   0.159225E+07   0.938117E+03
   316   0.353137E+04   0.120719E+02   0.120154E+03   0.158636E+07   0.929566E+03
   317   0.349770E+04   0.122610E+02   0.119883E+03   0.158050E+07   0.921078E+03
   318   0.346413E+04   0.124501E+02   0.119574E+03   0.157468E+07   0.912651E+03
   319   0.343066E+04   0.126392E+02   0.119226E+03   0.156888E+07   0.904286E+03
   320   0.339731E+04   0.128283E+02   0.118840E+03   0.156312E+07   0.895981E+03
   321   0.336410E+04   0.130172E+02   0.118416E+03   0.155739E+07   0.887737E+03
   322   0.333101E+04   0.132060E+02   0.117954E+03   0.155170E+07   0.879554E+03
